population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	280	280	0	42721	8426	34295	18327.754399299214	84402.42813576481	32.3	68760.72717664628	138	189	7874	89	4	147.5
US	136	136	0	46950	9154	37796	22727.933230073824	104666.00050026398	28.1	68760.72717664628	151	226	8554	179	6	194.0
Denmark	110	110	0	45191	8848	36343	13798.134569339185	63542.75794097244	28.7	68760.72717664628	148	217	8256	135	5	180.6
UK	101	101	0	44880	8846	36034	19213.65817866073	88482.16580813464	26.2	68760.72717664628	149	220	8254	198	7	176.4
Israel	79	79	0	44974	8791	36183	16895.11401052107	77804.87533012131	23.9	68760.72717664628	149	220	8199	56	4	177.8
AG	59	59	0	45958	8989	36969	22348.235832803337	102917.42936665667	23.0	68760.72717664628	149	220	8397	158	7	180.7
Spain	56	56	0	44031	8629	35402	11908.641710061418	54841.321758789076	22.0	68760.72717664628	144	205	8053	118	5	165.5
Sweden	56	56	0	43783	8720	35063	15197.925862046366	69989.03506875328	23.2	68760.72717664628	144	205	8144	138	8	163.7
SW	38	38	0	45883	8968	36915	12803.608445587362	58962.795886684245	22.3	68760.72717664628	150	223	8368	149	4	190.4
Germany	28	28	0	44430	8589	35841	14837.85191401535	68330.83325852982	20.8	68760.72717664628	144	205	8013	193	5	158.2
Netherlands	25	25	0	47152	9469	37683	10703.542666481431	49291.63557213176	26.0	68760.72717664628	157	244	8845	82	5	188.0
Austria	22	22	0	41538	8353	33185	13274.211703964815	61130.00398159294	22.0	68760.72717664628	137	186	7809	104	6	132.5
