Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	293	280	280	280	280	True
US	177	136	136	136	136	True
Denmark	177	110	110	110	110	True
UK	103	101	101	101	101	True
Israel	79	79	79	79	79	True
AG	59	59	59	59	59	True
Sweden	111	56	56	56	56	True
Spain	114	56	56	56	56	True
SW	38	38	38	38	38	True
Germany	51	28	28	28	28	True
Netherlands	28	25	25	25	25	True
Austria	27	22	22	22	22	True
France	17	17	17	17	17	False
GH	14	14	14	14	14	False
DM	12	12	12	12	12	False
KY	12	12	12	12	12	False
Kazakhstan	12	12	12	12	12	False
BF	8	8	8	8	8	False
Estonia	44	0	0	0	0	False
Madagascar	1	1	0	0	0	False
Mongolia	1	1	0	0	0	False
Japan	6	4	0	0	0	False
Russia	50	0	0	0	0	False
Canada	20	12	0	0	0	False
Singapore	1	0	0	0	0	False
Ireland	2	2	0	0	0	False
Finland	89	2	0	0	0	False
Italy	4	0	0	0	0	False
