Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	127	115	115	115	115	True
US	82	60	60	60	60	True
Denmark	46	36	36	36	36	True
Israel	33	33	33	33	33	True
Germany	52	29	29	29	29	True
AG	28	28	28	28	28	True
UK	19	17	17	17	17	False
SW	16	16	16	16	16	False
Sweden	33	15	15	15	15	False
KY	12	12	12	12	12	False
Spain	17	9	9	9	9	False
GH	7	7	7	7	7	False
Kazakhstan	6	6	6	6	6	False
DM	6	6	6	6	6	False
Netherlands	7	5	5	5	5	False
France	5	5	5	5	5	False
Austria	4	3	3	3	3	False
BF	1	1	1	1	1	False
Fiji	1	1	1	1	1	False
Australia	1	1	0	0	0	False
Canada	15	10	0	0	0	False
Madagascar	2	2	0	0	0	False
Russia	9	0	0	0	0	False
Finland	38	0	0	0	0	False
Estonia	9	0	0	0	0	False
