Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	359	330	330	288	288	True
US	138	114	114	104	104	True
UK	32	31	31	30	30	True
Denmark	50	33	33	28	28	True
Fiji	33	32	32	28	28	True
Spain	49	33	33	26	26	True
AG	25	25	25	25	25	True
Sweden	48	24	24	22	22	True
SW	21	21	21	21	21	True
Israel	12	12	12	12	12	False
KY	12	12	12	12	12	False
France	8	8	8	8	8	False
GH	7	7	7	7	7	False
Kazakhstan	8	7	7	6	6	False
DM	5	5	5	5	5	False
Germany	12	10	10	5	5	False
Netherlands	10	5	5	4	4	False
BF	3	3	3	3	3	False
Austria	3	3	3	2	2	False
Italy	1	1	0	0	0	False
Madagascar	1	1	0	0	0	False
Canada	1	1	0	0	0	False
Ireland	1	1	0	0	0	False
