Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	61	56	56	56	56	True
SW	39	39	39	39	39	True
US	66	29	29	29	29	True
Netherlands	36	29	29	29	29	True
AG	24	24	24	24	24	True
KY	22	22	22	22	22	True
Sweden	55	19	19	19	19	False
Spain	22	18	18	18	18	False
UK	15	14	14	14	14	False
Denmark	36	14	14	14	14	False
DM	12	12	12	12	12	False
Austria	9	8	8	8	8	False
Israel	8	8	8	8	8	False
Germany	4	4	4	4	4	False
GH	4	4	4	4	4	False
France	3	3	3	3	3	False
Fiji	2	2	2	2	2	False
Kazakhstan	1	1	1	1	1	False
BF	1	1	1	1	1	False
Italy	1	0	0	0	0	False
Canada	4	4	0	0	0	False
Russia	9	0	0	0	0	False
Slovakia	2	2	0	0	0	False
Finland	29	1	0	0	0	False
Estonia	2	0	0	0	0	False
Japan	1	1	0	0	0	False
