Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	41	41	41	41	41	True
BF	32	32	32	32	32	True
GH	21	21	21	21	21	True
DM	19	19	19	19	19	False
KY	19	19	19	19	19	False
Israel	10	10	10	10	10	False
SW	7	7	7	7	7	False
China	7	7	7	7	7	False
Denmark	7	7	7	7	7	False
Fiji	9	6	6	6	6	False
Kazakhstan	4	4	4	4	4	False
US	3	3	3	3	3	False
Germany	3	2	2	2	2	False
UK	2	2	2	2	2	False
France	1	1	1	1	1	False
Spain	1	1	1	1	1	False
Sweden	2	1	1	1	1	False
Madagascar	1	1	0	0	0	False
Mongolia	2	2	0	0	0	False
Peru	1	0	0	0	0	False
Canada	2	1	0	0	0	False
Italy	1	1	0	0	0	False
