species,pop1,pop2,n_sub,n_reps,fst,fst_sd
Acetatifactor_sp900066565,AG,China,25,100,0.0841193821303364,0.006889275942546607
Acetatifactor_sp900066565,AG,Denmark,25,100,0.15205136322196294,0.005014581335347233
Acetatifactor_sp900066565,AG,Germany,25,100,0.13831280355558773,0.006396926719269972
Acetatifactor_sp900066565,AG,Israel,25,100,0.14198330315936628,0.007084936542703302
Acetatifactor_sp900066565,AG,US,25,100,0.11983910480039439,0.009040310036531203
Acetatifactor_sp900066565,China,Denmark,25,100,0.21208796531315774,0.0135730329585073
Acetatifactor_sp900066565,China,Germany,25,100,0.20347823613537167,0.014110669570086755
Acetatifactor_sp900066565,China,Israel,25,100,0.20665552011647378,0.015981993871873948
Acetatifactor_sp900066565,China,US,25,100,0.1794497889997432,0.018093926590160764
Acetatifactor_sp900066565,Denmark,Germany,25,100,0.025449319727607885,0.0020705814936851337
Acetatifactor_sp900066565,Denmark,Israel,25,100,0.03289975883115477,0.0031511676053706983
Acetatifactor_sp900066565,Denmark,US,25,100,0.0241150442436011,0.0025301905329381666
Acetatifactor_sp900066565,Germany,Israel,25,100,0.0009885948683754817,0.0018804663324154935
Acetatifactor_sp900066565,Germany,US,25,100,0.007678638366083502,0.0033891522809801925
Acetatifactor_sp900066565,Israel,US,25,100,0.01322518588130927,0.0040611389321913854
Agathobacter_faecis,AG,China,20,100,0.050302154859050895,0.010398104348785797
Agathobacter_faecis,AG,Denmark,20,100,0.13015548072996078,0.02508044494860275
Agathobacter_faecis,AG,Fiji,20,100,0.041076165511876324,0.007332574576740082
Agathobacter_faecis,AG,Israel,20,100,0.09823709494817319,0.02378946817759286
Agathobacter_faecis,AG,KY,20,100,0.017637460593011633,0.006436117764384138
Agathobacter_faecis,AG,Netherlands,20,100,0.12715103187289983,0.02432472516144472
Agathobacter_faecis,AG,SW,20,100,0.04284258260777194,0.020662727244649837
Agathobacter_faecis,AG,Sweden,20,100,0.1119811474948023,0.02318318592794626
Agathobacter_faecis,AG,UK,20,100,0.1365290440932715,0.023536090659600706
Agathobacter_faecis,AG,US,20,100,0.09975180495806495,0.02336312628926141
Agathobacter_faecis,China,Denmark,20,100,0.16102351522481875,0.027235122858154378
Agathobacter_faecis,China,Fiji,20,100,0.07454661960702919,0.009561439448372407
Agathobacter_faecis,China,Israel,20,100,0.12220269512815386,0.024151842621338043
Agathobacter_faecis,China,KY,20,100,0.047734057042178195,0.00838000863478979
Agathobacter_faecis,China,Netherlands,20,100,0.15713697142928298,0.024004679042285555
Agathobacter_faecis,China,SW,20,100,0.07963450733703037,0.01894713099749198
Agathobacter_faecis,China,Sweden,20,100,0.14588535122813426,0.023765397997481112
Agathobacter_faecis,China,UK,20,100,0.16264825319393642,0.0239944742793134
Agathobacter_faecis,China,US,20,100,0.13300077687651163,0.022618738440297815
Agathobacter_faecis,Denmark,Fiji,20,100,0.1191652819674568,0.009382319298024067
Agathobacter_faecis,Denmark,Israel,20,100,0.013136611623007445,0.005633626472811798
Agathobacter_faecis,Denmark,KY,20,100,0.1491990484460534,0.019663401839193066
Agathobacter_faecis,Denmark,Netherlands,20,100,0.004089254936641008,0.003743750613646859
Agathobacter_faecis,Denmark,SW,20,100,0.03930352929968466,0.00946839420531698
Agathobacter_faecis,Denmark,Sweden,20,100,0.0024608441829354136,0.0031042258252517744
Agathobacter_faecis,Denmark,UK,20,100,0.01541262596778762,0.003651291569360739
