Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	332	287	287	214	214	True
US	312	213	213	177	177	True
Israel	152	152	152	119	119	True
Denmark	157	114	114	86	86	True
AG	71	71	71	71	71	True
Sweden	159	89	89	66	66	True
SW	54	54	54	54	54	True
Spain	117	69	69	49	49	True
UK	59	59	59	47	47	True
Netherlands	95	52	52	38	38	True
Germany	69	38	38	24	24	True
KY	18	18	18	18	18	False
Kazakhstan	22	17	17	15	15	False
France	21	21	21	12	12	False
DM	12	12	12	12	12	False
Austria	27	17	17	10	10	False
Fiji	16	13	13	9	9	False
GH	2	2	2	2	2	False
BF	1	1	1	1	1	False
Russia	1	0	0	0	0	False
Canada	15	7	0	0	0	False
Mongolia	3	1	0	0	0	False
Italy	2	2	0	0	0	False
Australia	5	5	0	0	0	False
Finland	11	1	0	0	0	False
Estonia	2	1	0	0	0	False
Japan	2	1	0	0	0	False
