population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	141	141	0	20747	5494	15253	4519.49268006995	20813.03294604955	19.9	14483.81421836587	39	14	5256	118	9	7.5
US	132	132	0	26417	6939	19478	3742.5146904835915	17234.917073237484	20.4	14483.81421836587	49	23	6639	222	15	10.5
UK	57	57	0	24542	6481	18061	4299.527149625048	19800.05424329963	15.4	14483.81421836587	43	18	6222	126	9	8.5
Israel	35	35	0	37795	9946	27849	2347.8973661399923	10812.466950307857	25.1	14483.81421836587	70	48	9506	401	14	24.0
AG	34	34	0	33806	9020	24786	2848.36888348899	13117.223460939682	24.3	14483.81421836587	63	39	8630	346	15	17.6
Denmark	26	26	0	18585	4777	13808	3672.7478407068193	16913.628856675183	17.2	14483.81421836587	33	10	4579	59	10	5.0
Germany	23	23	0	24085	6447	17638	3320.164243066875	15289.92138475529	18.6	14483.81421836587	46	20	6157	167	9	8.8
SW	21	21	0	33569	8995	24574	2727.178271724021	12559.12006881799	26.0	14483.81421836587	64	40	8593	220	9	18.2
Austria	20	20	0	31634	8406	23228	3206.329779354376	14765.694306328547	19.1	14483.81421836587	58	33	8043	160	9	14.5
Sweden	20	20	0	26511	6983	19528	3751.9955514608214	17278.57805154732	18.1	14483.81421836587	49	23	6684	112	12	10.0
