Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	159	141	141	141	141	True
US	207	132	132	132	132	True
UK	59	57	57	57	57	True
Israel	35	35	35	35	35	True
AG	34	34	34	34	34	True
Denmark	46	26	26	26	26	True
Germany	40	23	23	23	23	True
SW	21	21	21	21	21	True
Sweden	50	20	20	20	20	True
Austria	33	20	20	20	20	True
Spain	47	15	15	15	15	False
Kazakhstan	12	11	11	11	11	False
Netherlands	17	9	9	9	9	False
KY	9	9	9	9	9	False
France	6	6	6	6	6	False
DM	5	5	5	5	5	False
GH	3	3	3	3	3	False
BF	1	1	1	1	1	False
Italy	5	4	0	0	0	False
Mongolia	7	6	0	0	0	False
Russia	9	0	0	0	0	False
Finland	41	0	0	0	0	False
Estonia	16	0	0	0	0	False
Canada	20	16	0	0	0	False
