population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	114	114	0	22755	4944	17811	6.4	3035.0375781526745	13976.864568262197	40	15	4224	128	8	6.5
China	85	85	0	28377	5648	22729	5.8	3035.0375781526745	13976.864568262197	46	20	4821	130	7	9.3
Israel	50	50	0	25387	4823	20564	4.2	3035.0375781526745	13976.864568262197	40	15	4120	59	4	6.6
US	43	43	0	24250	4659	19591	3.7	3035.0375781526745	13976.864568262197	38	14	3982	69	6	5.8
Austria	37	37	0	19508	3636	15872	3.3	3035.0375781526745	13976.864568262197	31	9	3099	28	4	3.7
UK	34	34	0	25765	4919	20846	3.8	3035.0375781526745	13976.864568262197	40	15	4210	56	5	6.6
SW	33	33	0	21132	4382	16750	3.1	3035.0375781526745	13976.864568262197	36	12	3734	70	5	4.8
DM	31	31	0	24366	5115	19251	3.5	3035.0375781526745	13976.864568262197	41	16	4399	73	7	6.3
KY	30	30	0	24711	5216	19495	3.6	3035.0375781526745	13976.864568262197	42	17	4460	111	8	6.6
Spain	21	21	0	23665	4416	19249	2.9	3035.0375781526745	13976.864568262197	36	12	3777	62	6	5.4
Sweden	20	20	0	26976	5024	21952	3.8	3035.0375781526745	13976.864568262197	41	16	4312	48	4	7.0
