Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
SW	50	50	50	50	50	True
China	46	46	46	46	46	True
AG	28	28	28	28	28	True
Israel	20	20	20	20	20	True
KY	20	20	20	20	20	True
US	16	15	15	15	15	False
Austria	13	11	11	11	11	False
Sweden	13	9	9	9	9	False
Netherlands	13	9	9	9	9	False
UK	9	8	8	8	8	False
DM	8	8	8	8	8	False
Germany	11	7	7	7	7	False
Fiji	6	6	6	6	6	False
Spain	3	3	3	3	3	False
Denmark	3	3	3	3	3	False
GH	3	3	3	3	3	False
Kazakhstan	2	2	2	2	2	False
BF	2	2	2	2	2	False
Mongolia	1	1	0	0	0	False
Peru	1	0	0	0	0	False
Russia	1	0	0	0	0	False
Japan	1	1	0	0	0	False
Finland	2	1	0	0	0	False
Madagascar	1	1	0	0	0	False
