Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	102	102	102	102	102	True
DM	41	41	41	41	41	True
BF	35	35	35	35	35	True
UK	35	35	35	30	30	True
SW	29	29	29	29	29	True
KY	24	24	24	24	24	True
Israel	19	19	19	19	19	False
Denmark	36	31	31	16	16	False
GH	15	15	15	15	15	False
China	27	20	20	11	11	False
US	27	20	20	9	9	False
France	7	7	7	5	5	False
Kazakhstan	19	15	15	5	5	False
Fiji	6	6	6	4	4	False
Sweden	7	5	5	2	2	False
Germany	5	4	4	1	1	False
Austria	9	7	7	1	1	False
Italy	5	4	0	0	0	False
Madagascar	4	4	0	0	0	False
Mongolia	5	5	0	0	0	False
Netherlands	2	2	2	0	0	False
Spain	12	10	10	0	0	False
Canada	3	3	0	0	0	False
