population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
Denmark	174	174	0	36639	7969	28670	5137.447430825376	23658.819740518134	25.1	21980.72108680875	61	36	7669	182	4	25.2
US	160	160	0	35697	7828	27869	4699.344238416836	21641.279980452124	26.7	21980.72108680875	60	35	7528	153	5	24.0
China	139	139	0	38005	8534	29471	7660.719577390632	35278.91740101463	22.6	21980.72108680875	64	40	8214	247	8	27.6
UK	133	133	0	35863	7724	28139	6225.908779758081	28671.36949322341	21.6	21980.72108680875	59	34	7434	147	5	22.9
Israel	120	120	0	36174	7657	28517	5189.026666147038	23896.350897237517	22.4	21980.72108680875	59	34	7367	115	2	23.2
Spain	96	96	0	35199	7792	27407	4521.572033818004	20822.608723936206	24.2	21980.72108680875	60	35	7492	156	6	22.9
Sweden	68	68	0	36879	8073	28806	5919.21064508949	27258.972387349455	18.5	21980.72108680875	62	37	7763	219	5	25.8
AG	40	40	0	38826	8913	29913	4835.936008650359	22270.308328382882	20.8	21980.72108680875	67	44	8583	302	10	28.7
Germany	29	29	0	37907	8540	29367	3873.163737054143	17836.578167331958	25.0	21980.72108680875	66	42	8210	225	12	28.5
SW	25	25	0	35831	7954	27877	3814.2860781403474	17565.43652788137	23.9	21980.72108680875	61	36	7654	126	6	22.9
