population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	103	103	0	36367	7856	28511	34.8	1039.7681702293391	4788.309377879543	27	7	3992	136	9	4.8
China	78	78	0	27434	5186	22248	29.5	1039.7681702293391	4788.309377879543	20	3	2466	88	6	2.6
US	49	49	0	27602	5269	22333	23.1	1039.7681702293391	4788.309377879543	20	3	2538	110	11	2.6
UK	46	46	0	26395	4931	21464	21.8	1039.7681702293391	4788.309377879543	18	3	2416	101	9	2.4
Israel	43	43	0	27074	5081	21993	21.3	1039.7681702293391	4788.309377879543	19	3	2537	123	10	2.5
DM	39	39	0	37906	8169	29737	20.6	1039.7681702293391	4788.309377879543	29	8	4089	167	14	4.9
Denmark	37	37	0	26040	4916	21124	20.0	1039.7681702293391	4788.309377879543	19	3	2417	124	12	2.5
KY	30	30	0	40834	8920	31914	19.1	1039.7681702293391	4788.309377879543	31	9	4531	136	15	5.5
BF	28	28	0	21404	4168	17236	18.0	1039.7681702293391	4788.309377879543	17	3	1994	129	13	1.9
Sweden	23	23	0	27610	5211	22399	17.2	1039.7681702293391	4788.309377879543	19	3	2663	120	10	2.7
SW	22	22	0	29421	6023	23398	17.1	1039.7681702293391	4788.309377879543	22	4	2947	113	9	3.1
