Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
KY	35	35	35	35	35	True
AG	34	34	34	34	34	True
Fiji	34	28	28	28	28	True
BF	19	19	19	19	19	False
Denmark	27	17	17	17	17	False
DM	12	12	12	12	12	False
Israel	10	10	10	10	10	False
Spain	19	9	9	9	9	False
US	20	7	7	7	7	False
China	6	6	6	6	6	False
Austria	6	5	5	5	5	False
GH	4	4	4	4	4	False
SW	4	4	4	4	4	False
Sweden	7	4	4	4	4	False
Germany	6	4	4	4	4	False
Kazakhstan	3	2	2	2	2	False
ElSalvador	2	1	0	0	0	False
Australia	1	1	0	0	0	False
Canada	2	2	0	0	0	False
Madagascar	10	10	0	0	0	False
Mongolia	1	1	0	0	0	False
Russia	2	0	0	0	0	False
