Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	163	163	163	163	163	True
KY	94	94	94	94	94	True
DM	69	69	69	69	69	True
SW	65	65	65	65	65	True
Fiji	57	48	48	48	48	True
Israel	23	23	23	23	23	True
Denmark	25	23	23	23	23	True
Kazakhstan	21	17	17	17	17	False
GH	10	10	10	10	10	False
Spain	17	8	8	8	8	False
BF	7	7	7	7	7	False
Netherlands	9	7	7	7	7	False
US	5	5	5	5	5	False
Sweden	5	4	4	4	4	False
China	3	3	3	3	3	False
Germany	3	3	3	3	3	False
Austria	2	2	2	2	2	False
France	2	2	2	2	2	False
UK	1	1	1	1	1	False
Estonia	1	0	0	0	0	False
Madagascar	21	21	0	0	0	False
Mongolia	17	15	0	0	0	False
ElSalvador	2	1	0	0	0	False
Peru	5	1	0	0	0	False
Canada	1	1	0	0	0	False
