Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	99	99	99	99	99	True
China	131	112	112	91	91	True
Denmark	92	68	68	57	57	True
US	61	56	56	49	49	True
SW	44	44	44	44	44	True
DM	40	40	40	40	40	True
Fiji	43	32	32	26	26	True
KY	23	23	23	23	23	True
Spain	49	26	26	22	22	True
Israel	23	23	23	20	20	True
France	14	14	14	13	13	False
Kazakhstan	33	25	25	12	12	False
Germany	39	11	11	10	10	False
UK	12	12	12	10	10	False
Austria	13	9	9	7	7	False
Netherlands	23	8	8	7	7	False
GH	6	6	6	6	6	False
Sweden	7	4	4	4	4	False
Peru	3	0	0	0	0	False
Estonia	2	0	0	0	0	False
Madagascar	4	4	0	0	0	False
Mongolia	20	13	0	0	0	False
Canada	3	1	0	0	0	False
Japan	3	3	0	0	0	False
Ireland	1	1	0	0	0	False
Italy	2	2	0	0	0	False
