Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	111	109	109	109	109	True
US	73	62	62	62	62	True
AG	58	58	58	58	58	True
Israel	43	43	43	43	43	True
UK	40	40	40	40	40	True
GH	21	21	21	21	21	True
KY	21	21	21	21	21	True
DM	16	16	16	16	16	False
SW	15	15	15	15	15	False
Sweden	12	8	8	8	8	False
Kazakhstan	10	8	8	8	8	False
Germany	12	8	8	8	8	False
Spain	11	7	7	7	7	False
BF	6	6	6	6	6	False
Fiji	5	5	5	5	5	False
Denmark	5	5	5	5	5	False
Austria	1	1	1	1	1	False
France	1	1	1	1	1	False
Netherlands	1	1	1	1	1	False
Italy	2	1	0	0	0	False
Finland	3	0	0	0	0	False
Mongolia	10	5	0	0	0	False
Estonia	2	0	0	0	0	False
Canada	12	10	0	0	0	False
