population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	107	107	0	36448	7881	28567	17288.507920140648	79616.52123405068	17.6	23766.928752667485	71	49	7601	271	10	25.2
Israel	78	78	0	23606	5045	18561	6859.059477859224	31587.13621135634	13.6	23766.928752667485	48	22	4853	104	4	8.8
Denmark	77	77	0	23564	4939	18625	6639.750795410584	30577.182405415533	12.3	23766.928752667485	47	21	4755	61	6	8.3
US	64	64	0	25129	5315	19814	5387.033444543892	24808.205809734263	13.0	23766.928752667485	50	24	5115	105	4	9.8
UK	48	48	0	23525	5011	18514	5305.428834013676	24432.402690281342	12.9	23766.928752667485	49	23	4819	83	6	8.6
Sweden	41	41	0	23709	5000	18709	3758.0502691658785	17306.461057007225	12.7	23766.928752667485	49	23	4808	111	5	8.8
Netherlands	33	33	0	23468	5054	18414	4349.493846996371	20030.159388326334	12.5	23766.928752667485	48	22	4862	37	5	8.7
Spain	26	26	0	24008	5248	18760	10289.699795843584	47385.81872258662	13.1	23766.928752667485	51	25	5048	98	5	9.2
AG	23	23	0	28418	6090	22328	6846.722961309951	31530.32445314468	13.5	23766.928752667485	58	33	5858	80	6	13.8
Fiji	20	20	0	39686	8858	30828	6757.956213309578	31121.538471746244	19.2	23766.928752667485	80	63	8538	95	7	34.5
Germany	20	20	0	27572	5833	21739	2178.451424944462	10032.13955377751	13.7	23766.928752667485	56	30	5609	84	5	13.5
