,AG,Austria,BF,China,DM,Denmark,Fiji,France,GH,Germany,Israel,KY,Kazakhstan,Netherlands,SW,Spain,Sweden,UK,US
AG,nan,0.09090909090909091,0.42857142857142855,0.4444444444444444,0.7142857142857143,0.09090909090909091,0.1,0.0,0.2857142857142857,0.07142857142857142,0.1,0.42857142857142855,0.0,0.1,0.2857142857142857,0.1,0.08333333333333333,0.09090909090909091,0.09090909090909091
Austria,0.09090909090909091,nan,0.1111111111111111,0.08333333333333333,0.09090909090909091,0.7142857142857143,0.1,0.2857142857142857,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.625,0.7142857142857143,0.7142857142857143
BF,0.42857142857142855,0.1111111111111111,nan,0.375,0.6666666666666666,0.1111111111111111,0.0,0.0,0.16666666666666666,0.08333333333333333,0.125,0.3333333333333333,0.0,0.125,0.16666666666666666,0.125,0.1,0.1111111111111111,0.1111111111111111
China,0.4444444444444444,0.08333333333333333,0.375,nan,0.625,0.08333333333333333,0.09090909090909091,0.0,0.1111111111111111,0.06666666666666667,0.09090909090909091,0.375,0.0,0.09090909090909091,0.25,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.08333333333333333
DM,0.7142857142857143,0.09090909090909091,0.6666666666666666,0.625,nan,0.09090909090909091,0.1,0.0,0.2857142857142857,0.07142857142857142,0.1,0.42857142857142855,0.0,0.1,0.2857142857142857,0.1,0.08333333333333333,0.09090909090909091,0.09090909090909091
Denmark,0.09090909090909091,0.7142857142857143,0.1111111111111111,0.08333333333333333,0.09090909090909091,nan,0.0,0.5,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.7142857142857143
Fiji,0.1,0.1,0.0,0.09090909090909091,0.1,0.0,nan,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.0,0.1,0.0
France,0.0,0.2857142857142857,0.0,0.0,0.0,0.5,0.0,nan,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.42857142857142855,0.5,0.2857142857142857
GH,0.2857142857142857,0.0,0.16666666666666666,0.1111111111111111,0.2857142857142857,0.0,0.0,0.0,nan,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,0.07142857142857142,0.6666666666666666,0.08333333333333333,0.06666666666666667,0.07142857142857142,0.6666666666666666,0.07692307692307693,0.3333333333333333,0.0,nan,0.4,0.0,0.1,0.5555555555555556,0.0,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.5
Israel,0.1,0.5714285714285714,0.125,0.09090909090909091,0.1,0.5714285714285714,0.0,0.3333333333333333,0.0,0.4,nan,0.0,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.5,0.5714285714285714,0.8333333333333334
KY,0.42857142857142855,0.0,0.3333333333333333,0.375,0.42857142857142855,0.0,0.0,0.0,0.4,0.0,0.0,nan,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.16666666666666666,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
Netherlands,0.1,0.8333333333333334,0.125,0.09090909090909091,0.1,0.5714285714285714,0.1111111111111111,0.3333333333333333,0.0,0.5555555555555556,0.6666666666666666,0.0,0.0,nan,0.0,1.0,0.5,0.8333333333333334,0.5714285714285714
SW,0.2857142857142857,0.0,0.16666666666666666,0.25,0.2857142857142857,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,nan,0.0,0.0,0.0,0.0
Spain,0.1,0.8333333333333334,0.125,0.09090909090909091,0.1,0.5714285714285714,0.1111111111111111,0.3333333333333333,0.0,0.5555555555555556,0.6666666666666666,0.0,0.0,1.0,0.0,nan,0.5,0.8333333333333334,0.5714285714285714
Sweden,0.08333333333333333,0.625,0.1,0.07692307692307693,0.08333333333333333,0.8571428571428571,0.0,0.42857142857142855,0.0,0.7777777777777778,0.5,0.0,0.0,0.5,0.0,0.5,nan,0.625,0.625
UK,0.09090909090909091,0.7142857142857143,0.1111111111111111,0.08333333333333333,0.09090909090909091,0.7142857142857143,0.1,0.5,0.0,0.6666666666666666,0.5714285714285714,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.625,nan,0.5
US,0.09090909090909091,0.7142857142857143,0.1111111111111111,0.08333333333333333,0.09090909090909091,0.7142857142857143,0.0,0.2857142857142857,0.0,0.5,0.8333333333333334,0.0,0.14285714285714285,0.5714285714285714,0.0,0.5714285714285714,0.625,0.5,nan
