,AG,Austria,BF,China,DM,Denmark,GH,Germany,Israel,KY,Netherlands,SW,Spain,Sweden,UK,US
AG,nan,0.5555555555555556,0.4444444444444444,0.75,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5,0.4444444444444444,0.5714285714285714,0.7142857142857143,0.3333333333333333,0.4444444444444444,0.42857142857142855,0.625,0.5
Austria,0.5555555555555556,nan,0.3,0.4,0.625,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.625,0.42857142857142855,0.8571428571428571,0.3333333333333333
BF,0.4444444444444444,0.3,nan,0.3,0.3333333333333333,0.25,0.42857142857142855,0.375,0.2,0.42857142857142855,0.375,0.2222222222222222,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.375
China,0.75,0.4,0.3,nan,0.625,0.375,0.375,0.3333333333333333,0.3,0.375,0.5,0.3333333333333333,0.3,0.25,0.4444444444444444,0.3333333333333333
DM,0.8571428571428571,0.625,0.3333333333333333,0.625,nan,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5,0.6666666666666666,0.8333333333333334,0.375,0.5,0.5,0.7142857142857143,0.375
Denmark,0.5714285714285714,0.5714285714285714,0.25,0.375,0.6666666666666666,nan,0.6,0.5,0.6666666666666666,0.6,0.8,0.2857142857142857,0.42857142857142855,0.75,0.6666666666666666,0.5
GH,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.375,0.6666666666666666,0.6,nan,0.8,0.42857142857142855,0.6,0.8,0.2857142857142857,0.42857142857142855,0.4,0.6666666666666666,0.2857142857142857
Germany,0.5,0.7142857142857143,0.375,0.3333333333333333,0.5714285714285714,0.5,0.8,nan,0.5714285714285714,0.5,0.6666666666666666,0.42857142857142855,0.375,0.3333333333333333,0.5714285714285714,0.25
Israel,0.4444444444444444,0.8571428571428571,0.2,0.3,0.5,0.6666666666666666,0.42857142857142855,0.5714285714285714,nan,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5,0.5,0.7142857142857143,0.375
KY,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.375,0.6666666666666666,0.6,0.6,0.5,0.42857142857142855,nan,0.8,0.5,0.6666666666666666,0.75,0.6666666666666666,0.5
Netherlands,0.7142857142857143,0.7142857142857143,0.375,0.5,0.8333333333333334,0.8,0.8,0.6666666666666666,0.5714285714285714,0.8,nan,0.42857142857142855,0.5714285714285714,0.6,0.8333333333333334,0.42857142857142855
SW,0.3333333333333333,0.7142857142857143,0.2222222222222222,0.3333333333333333,0.375,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.5,0.42857142857142855,nan,0.5714285714285714,0.3333333333333333,0.5714285714285714,0.25
Spain,0.4444444444444444,0.625,0.3333333333333333,0.3,0.5,0.42857142857142855,0.42857142857142855,0.375,0.5,0.6666666666666666,0.5714285714285714,0.5714285714285714,nan,0.5,0.7142857142857143,0.375
Sweden,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.25,0.5,0.75,0.4,0.3333333333333333,0.5,0.75,0.6,0.3333333333333333,0.5,nan,0.5,0.6
UK,0.625,0.8571428571428571,0.3333333333333333,0.4444444444444444,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.8333333333333334,0.5714285714285714,0.7142857142857143,0.5,nan,0.375
US,0.5,0.3333333333333333,0.375,0.3333333333333333,0.375,0.5,0.2857142857142857,0.25,0.375,0.5,0.42857142857142855,0.25,0.375,0.6,0.375,nan
