,AG,Austria,China,DM,Denmark,Germany,Israel,KY,Netherlands,SW,Spain,Sweden,US
AG,nan,0.25,0.09090909090909091,0.6666666666666666,0.2857142857142857,0.1111111111111111,0.375,0.0,0.125,0.5714285714285714,0.25,0.7142857142857143,0.2222222222222222
Austria,0.25,nan,0.25,0.3333333333333333,0.4,0.6,0.5,0.2,0.75,0.2857142857142857,0.6,0.42857142857142855,0.5
China,0.09090909090909091,0.25,nan,0.1111111111111111,0.0,0.25,0.1,0.0,0.125,0.1,0.1111111111111111,0.09090909090909091,0.1
DM,0.6666666666666666,0.3333333333333333,0.1111111111111111,nan,0.4,0.14285714285714285,0.2857142857142857,0.0,0.16666666666666666,0.5,0.14285714285714285,0.6666666666666666,0.2857142857142857
Denmark,0.2857142857142857,0.4,0.0,0.4,nan,0.4,0.3333333333333333,0.25,0.5,0.3333333333333333,0.4,0.5,0.6
Germany,0.1111111111111111,0.6,0.25,0.14285714285714285,0.4,nan,0.5,0.2,0.75,0.125,0.6,0.25,0.5
Israel,0.375,0.5,0.1,0.2857142857142857,0.3333333333333333,0.5,nan,0.16666666666666666,0.6,0.25,0.8,0.5714285714285714,0.42857142857142855
KY,0.0,0.2,0.0,0.0,0.25,0.2,0.16666666666666666,nan,0.25,0.0,0.2,0.14285714285714285,0.16666666666666666
Netherlands,0.125,0.75,0.125,0.16666666666666666,0.5,0.75,0.6,0.25,nan,0.14285714285714285,0.75,0.2857142857142857,0.6
SW,0.5714285714285714,0.2857142857142857,0.1,0.5,0.3333333333333333,0.125,0.25,0.0,0.14285714285714285,nan,0.2857142857142857,0.5714285714285714,0.42857142857142855
Spain,0.25,0.6,0.1111111111111111,0.14285714285714285,0.4,0.6,0.8,0.2,0.75,0.2857142857142857,nan,0.42857142857142855,0.5
Sweden,0.7142857142857143,0.42857142857142855,0.09090909090909091,0.6666666666666666,0.5,0.25,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.42857142857142855,nan,0.375
US,0.2222222222222222,0.5,0.1,0.2857142857142857,0.6,0.5,0.42857142857142855,0.16666666666666666,0.6,0.42857142857142855,0.5,0.375,nan
