,AG,BF,DM,Denmark,Fiji,GH,Israel,KY,Kazakhstan,SW,UK,US
AG,nan,0.14285714285714285,0.2857142857142857,0.0,0.1,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2,0.1,0.125
BF,0.14285714285714285,nan,0.2222222222222222,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.09090909090909091,0.16666666666666666,0.08333333333333333,0.0
DM,0.2857142857142857,0.2222222222222222,nan,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0
Denmark,0.0,0.0,0.0,nan,0.0,0.16666666666666666,0.2,0.4,0.2,0.3333333333333333,0.0,0.25
Fiji,0.1,0.0,0.0,0.0,nan,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
GH,0.2222222222222222,0.08333333333333333,0.0,0.16666666666666666,0.14285714285714285,nan,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.125,0.0,0.2
Israel,0.0,0.0,0.0,0.2,0.0,0.16666666666666666,nan,0.16666666666666666,0.5,0.14285714285714285,0.0,0.25
KY,0.2222222222222222,0.08333333333333333,0.2,0.4,0.0,0.14285714285714285,0.16666666666666666,nan,0.16666666666666666,0.5,0.14285714285714285,0.2
Kazakhstan,0.0,0.09090909090909091,0.0,0.2,0.0,0.16666666666666666,0.5,0.16666666666666666,nan,0.14285714285714285,0.0,0.25
SW,0.2,0.16666666666666666,0.4,0.3333333333333333,0.0,0.125,0.14285714285714285,0.5,0.14285714285714285,nan,0.125,0.16666666666666666
UK,0.1,0.08333333333333333,0.2,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.125,nan,0.0
US,0.125,0.0,0.0,0.25,0.0,0.2,0.25,0.2,0.25,0.16666666666666666,0.0,nan
