,AG,Austria,China,Denmark,Germany,Israel,SW,Sweden,UK,US
AG,nan,0.2631578947368421,0.09090909090909091,0.041666666666666664,0.2,0.5263157894736842,0.3333333333333333,0.22727272727272727,0.2631578947368421,0.2
Austria,0.2631578947368421,nan,0.125,0.05555555555555555,0.2,0.15,0.125,0.10526315789473684,0.125,0.14285714285714285
China,0.09090909090909091,0.125,nan,0.1875,0.125,0.15,0.125,0.3125,0.2,0.2631578947368421
Denmark,0.041666666666666664,0.05555555555555555,0.1875,nan,0.1875,0.043478260869565216,0.0,0.15789473684210525,0.11764705882352941,0.13636363636363635
Germany,0.2,0.2,0.125,0.1875,nan,0.21052631578947367,0.125,0.3125,0.2857142857142857,0.4117647058823529
Israel,0.5263157894736842,0.15,0.15,0.043478260869565216,0.21052631578947367,nan,0.4375,0.18181818181818182,0.2777777777777778,0.2608695652173913
SW,0.3333333333333333,0.125,0.125,0.0,0.125,0.4375,nan,0.16666666666666666,0.2,0.09090909090909091
Sweden,0.22727272727272727,0.10526315789473684,0.3125,0.15789473684210525,0.3125,0.18181818181818182,0.16666666666666666,nan,0.23529411764705882,0.35
UK,0.2631578947368421,0.125,0.2,0.11764705882352941,0.2857142857142857,0.2777777777777778,0.2,0.23529411764705882,nan,0.2631578947368421
US,0.2,0.14285714285714285,0.2631578947368421,0.13636363636363635,0.4117647058823529,0.2608695652173913,0.09090909090909091,0.35,0.2631578947368421,nan
