,AG,China,Denmark,France,Germany,Israel,SW,Spain,Sweden,UK,US
AG,nan,0.25,0.14285714285714285,0.16666666666666666,0.23076923076923078,0.3333333333333333,0.36363636363636365,0.2727272727272727,0.3333333333333333,0.25,0.36363636363636365
China,0.25,nan,0.4166666666666667,0.36363636363636365,0.5454545454545454,0.4444444444444444,0.6,0.6666666666666666,0.7,0.6,0.6
Denmark,0.14285714285714285,0.4166666666666667,nan,0.45454545454545453,0.38461538461538464,0.4,0.4166666666666667,0.45454545454545453,0.38461538461538464,0.4166666666666667,0.4166666666666667
France,0.16666666666666666,0.36363636363636365,0.45454545454545453,nan,0.3333333333333333,0.5,0.36363636363636365,0.4,0.3333333333333333,0.5,0.36363636363636365
Germany,0.23076923076923078,0.5454545454545454,0.38461538461538464,0.3333333333333333,nan,0.4,0.4166666666666667,0.45454545454545453,0.5,0.5454545454545454,0.5454545454545454
Israel,0.3333333333333333,0.4444444444444444,0.4,0.5,0.4,nan,0.625,0.7142857142857143,0.4,0.4444444444444444,0.625
SW,0.36363636363636365,0.6,0.4166666666666667,0.36363636363636365,0.4166666666666667,0.625,nan,0.6666666666666666,0.5454545454545454,0.45454545454545453,0.6
Spain,0.2727272727272727,0.6666666666666666,0.45454545454545453,0.4,0.45454545454545453,0.7142857142857143,0.6666666666666666,nan,0.6,0.5,0.6666666666666666
Sweden,0.3333333333333333,0.7,0.38461538461538464,0.3333333333333333,0.5,0.4,0.5454545454545454,0.6,nan,0.7,0.5454545454545454
UK,0.25,0.6,0.4166666666666667,0.5,0.5454545454545454,0.4444444444444444,0.45454545454545453,0.5,0.7,nan,0.6
US,0.36363636363636365,0.6,0.4166666666666667,0.36363636363636365,0.5454545454545454,0.625,0.6,0.6666666666666666,0.5454545454545454,0.6,nan
