,AG,Austria,China,DM,Israel,KY,SW,Spain,Sweden,UK,US
AG,nan,0.09090909090909091,0.5,0.875,0.2,0.6666666666666666,0.3,0.0,0.0,0.18181818181818182,0.0
Austria,0.09090909090909091,nan,0.1,0.1,0.14285714285714285,0.1,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.125
China,0.5,0.1,nan,0.4,0.2222222222222222,0.4,0.2,0.0,0.0,0.2,0.0
DM,0.875,0.1,0.4,nan,0.1,0.5555555555555556,0.3333333333333333,0.0,0.0,0.2,0.0
Israel,0.2,0.14285714285714285,0.2222222222222222,0.1,nan,0.1,0.5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857
KY,0.6666666666666666,0.1,0.4,0.5555555555555556,0.1,nan,0.2,0.0,0.0,0.09090909090909091,0.0
SW,0.3,0.2857142857142857,0.2,0.3333333333333333,0.5,0.2,nan,0.125,0.125,0.42857142857142855,0.25
Spain,0.0,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.125,nan,0.6,0.2857142857142857,0.2857142857142857
Sweden,0.0,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.125,0.6,nan,0.2857142857142857,0.2857142857142857
UK,0.18181818181818182,0.5,0.2,0.2,0.2857142857142857,0.09090909090909091,0.42857142857142855,0.2857142857142857,0.2857142857142857,nan,0.1111111111111111
US,0.0,0.125,0.0,0.0,0.2857142857142857,0.0,0.25,0.2857142857142857,0.2857142857142857,0.1111111111111111,nan
