,AG,China,Denmark,Fiji,Israel,KY,Netherlands,SW,Spain,Sweden,UK,US
AG,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,0.0,nan,0.0,0.6666666666666666,0.0,0.3333333333333333,0.25,0.5,0.5,1.0,1.0
Fiji,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
Israel,0.0,0.0,0.6666666666666666,0.0,nan,0.0,0.25,0.2,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
KY,0.0,0.0,0.0,0.0,0.0,nan,0.25,0.2,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.3333333333333333,0.0,0.25,0.25,nan,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333
SW,0.0,0.0,0.25,0.25,0.2,0.2,0.6666666666666666,nan,0.3333333333333333,0.3333333333333333,0.25,0.25
Spain,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.5,0.3333333333333333,nan,1.0,0.5,0.5
Sweden,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.5,0.3333333333333333,1.0,nan,0.5,0.5
UK,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.25,0.5,0.5,nan,1.0
US,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.25,0.5,0.5,1.0,nan
