,AG,Austria,China,DM,Fiji,Israel,KY,SW,Spain,Sweden,US
AG,nan,0.2,0.3076923076923077,0.23076923076923078,0.1875,0.2727272727272727,0.5454545454545454,0.14285714285714285,0.08333333333333333,0.23076923076923078,0.14285714285714285
Austria,0.2,nan,0.18181818181818182,0.2,0.07142857142857142,0.25,0.18181818181818182,0.09090909090909091,0.2857142857142857,0.3333333333333333,0.09090909090909091
China,0.3076923076923077,0.18181818181818182,nan,0.21428571428571427,0.25,0.36363636363636365,0.6363636363636364,0.0625,0.07692307692307693,0.3076923076923077,0.13333333333333333
DM,0.23076923076923078,0.2,0.21428571428571427,nan,0.11764705882352941,0.4,0.21428571428571427,0.23076923076923078,0.08333333333333333,0.3333333333333333,0.23076923076923078
Fiji,0.1875,0.07142857142857142,0.25,0.11764705882352941,nan,0.21428571428571427,0.25,0.0,0.0,0.1875,0.1875
Israel,0.2727272727272727,0.25,0.36363636363636365,0.4,0.21428571428571427,nan,0.36363636363636365,0.16666666666666666,0.1,0.5555555555555556,0.2727272727272727
KY,0.5454545454545454,0.18181818181818182,0.6363636363636364,0.21428571428571427,0.25,0.36363636363636365,nan,0.13333333333333333,0.07692307692307693,0.3076923076923077,0.13333333333333333
SW,0.14285714285714285,0.09090909090909091,0.0625,0.23076923076923078,0.0,0.16666666666666666,0.13333333333333333,nan,0.08333333333333333,0.14285714285714285,0.06666666666666667
Spain,0.08333333333333333,0.2857142857142857,0.07692307692307693,0.08333333333333333,0.0,0.1,0.07692307692307693,0.08333333333333333,nan,0.18181818181818182,0.0
Sweden,0.23076923076923078,0.3333333333333333,0.3076923076923077,0.3333333333333333,0.1875,0.5555555555555556,0.3076923076923077,0.14285714285714285,0.18181818181818182,nan,0.3333333333333333
US,0.14285714285714285,0.09090909090909091,0.13333333333333333,0.23076923076923078,0.1875,0.2727272727272727,0.13333333333333333,0.06666666666666667,0.0,0.3333333333333333,nan
