,AG,China,Denmark,Fiji,Germany,Israel,Netherlands,Spain,Sweden,UK,US
AG,nan,0.0,0.09090909090909091,0.3,0.2222222222222222,0.0,0.0,0.1,0.0,0.09090909090909091,0.25
China,0.0,nan,0.0,0.13333333333333333,0.07142857142857142,0.07692307692307693,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.06666666666666667,0.07692307692307693
Denmark,0.09090909090909091,0.0,nan,0.08333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.1,0.09090909090909091,0.1111111111111111
Fiji,0.3,0.13333333333333333,0.08333333333333333,nan,0.2,0.1,0.09090909090909091,0.2,0.09090909090909091,0.18181818181818182,0.375
Germany,0.2222222222222222,0.07142857142857142,0.2222222222222222,0.2,nan,0.125,0.25,0.1111111111111111,0.42857142857142855,0.2222222222222222,0.2857142857142857
Israel,0.0,0.07692307692307693,0.1111111111111111,0.1,0.125,nan,0.125,0.125,0.125,0.1111111111111111,0.14285714285714285
Netherlands,0.0,0.07142857142857142,0.2222222222222222,0.09090909090909091,0.25,0.125,nan,0.1111111111111111,0.25,0.1,0.125
Spain,0.1,0.07142857142857142,0.0,0.2,0.1111111111111111,0.125,0.1111111111111111,nan,0.1111111111111111,0.1,0.2857142857142857
Sweden,0.0,0.07142857142857142,0.1,0.09090909090909091,0.42857142857142855,0.125,0.25,0.1111111111111111,nan,0.1,0.125
UK,0.09090909090909091,0.06666666666666667,0.09090909090909091,0.18181818181818182,0.2222222222222222,0.1111111111111111,0.1,0.1,0.1,nan,0.25
US,0.25,0.07692307692307693,0.1111111111111111,0.375,0.2857142857142857,0.14285714285714285,0.125,0.2857142857142857,0.125,0.25,nan
