,AG,Austria,China,Denmark,Germany,Israel,Netherlands,SW,Spain,Sweden,UK,US
AG,nan,0.3,0.5714285714285714,0.2,0.5,0.375,0.2,0.5714285714285714,0.2,0.5,0.5555555555555556,0.4444444444444444
Austria,0.3,nan,0.25,0.375,0.5714285714285714,0.1111111111111111,0.375,0.25,0.2222222222222222,0.4,0.4444444444444444,0.3333333333333333
China,0.5714285714285714,0.25,nan,0.2857142857142857,0.5,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.375,0.42857142857142855
Denmark,0.2,0.375,0.2857142857142857,nan,0.42857142857142855,0.125,0.25,0.125,0.42857142857142855,0.3,0.5,0.375
Germany,0.5,0.5714285714285714,0.5,0.42857142857142855,nan,0.2857142857142857,0.42857142857142855,0.5,0.25,0.4444444444444444,0.7142857142857143,0.5714285714285714
Israel,0.375,0.1111111111111111,0.3333333333333333,0.125,0.2857142857142857,nan,0.125,0.6,0.125,0.3333333333333333,0.2222222222222222,0.6666666666666666
Netherlands,0.2,0.375,0.2857142857142857,0.25,0.42857142857142855,0.125,nan,0.125,0.25,0.18181818181818182,0.3333333333333333,0.375
SW,0.5714285714285714,0.25,0.3333333333333333,0.125,0.5,0.6,0.125,nan,0.125,0.3333333333333333,0.375,0.42857142857142855
Spain,0.2,0.2222222222222222,0.2857142857142857,0.42857142857142855,0.25,0.125,0.25,0.125,nan,0.3,0.2,0.2222222222222222
Sweden,0.5,0.4,0.3333333333333333,0.3,0.4444444444444444,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.3,nan,0.5,0.4
UK,0.5555555555555556,0.4444444444444444,0.375,0.5,0.7142857142857143,0.2222222222222222,0.3333333333333333,0.375,0.2,0.5,nan,0.4444444444444444
US,0.4444444444444444,0.3333333333333333,0.42857142857142855,0.375,0.5714285714285714,0.6666666666666666,0.375,0.42857142857142855,0.2222222222222222,0.4,0.4444444444444444,nan
