,AG,Austria,BF,China,DM,Denmark,France,Germany,Israel,KY,Netherlands,SW,Spain,Sweden,UK,US
AG,nan,0.0,0.2,0.1111111111111111,0.2,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.125
Austria,0.0,nan,0.1111111111111111,0.5555555555555556,0.0,0.5555555555555556,0.375,0.7142857142857143,0.625,0.0,0.7142857142857143,0.4,0.75,0.5714285714285714,0.7142857142857143,0.08333333333333333
BF,0.2,0.1111111111111111,nan,0.25,0.0,0.1111111111111111,0.0,0.0,0.125,0.125,0.14285714285714285,0.0,0.1111111111111111,0.0,0.14285714285714285,0.0
China,0.1111111111111111,0.5555555555555556,0.25,nan,0.0,0.5555555555555556,0.375,0.5,0.4444444444444444,0.18181818181818182,0.7142857142857143,0.4,0.5555555555555556,0.5714285714285714,0.7142857142857143,0.18181818181818182
DM,0.2,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,0.0,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.0,nan,0.375,0.5,0.625,0.0,0.7142857142857143,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.7142857142857143,0.08333333333333333
France,0.0,0.375,0.0,0.375,0.0,0.375,nan,0.5,0.42857142857142855,0.1111111111111111,0.5,0.375,0.375,0.6,0.5,0.1111111111111111
Germany,0.0,0.7142857142857143,0.0,0.5,0.0,0.5,0.5,nan,0.5714285714285714,0.0,0.6666666666666666,0.5,0.7142857142857143,0.8,0.6666666666666666,0.1
Israel,0.0,0.625,0.125,0.4444444444444444,0.0,0.625,0.42857142857142855,0.5714285714285714,nan,0.0,0.5714285714285714,0.4444444444444444,0.625,0.42857142857142855,0.5714285714285714,0.09090909090909091
KY,0.2857142857142857,0.0,0.125,0.18181818181818182,0.0,0.0,0.1111111111111111,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.2
Netherlands,0.0,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.0,0.7142857142857143,0.5,0.6666666666666666,0.5714285714285714,0.0,nan,0.5,0.7142857142857143,0.8,1.0,0.1
SW,0.0,0.4,0.0,0.4,0.0,0.5555555555555556,0.375,0.5,0.4444444444444444,0.0,0.5,nan,0.4,0.5714285714285714,0.5,0.08333333333333333
Spain,0.0,0.75,0.1111111111111111,0.5555555555555556,0.0,0.5555555555555556,0.375,0.7142857142857143,0.625,0.0,0.7142857142857143,0.4,nan,0.5714285714285714,0.7142857142857143,0.08333333333333333
Sweden,0.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.5714285714285714,0.6,0.8,0.42857142857142855,0.0,0.8,0.5714285714285714,0.5714285714285714,nan,0.8,0.1111111111111111
UK,0.0,0.7142857142857143,0.14285714285714285,0.7142857142857143,0.0,0.7142857142857143,0.5,0.6666666666666666,0.5714285714285714,0.0,1.0,0.5,0.7142857142857143,0.8,nan,0.1
US,0.125,0.08333333333333333,0.0,0.18181818181818182,0.0,0.08333333333333333,0.1111111111111111,0.1,0.09090909090909091,0.2,0.1,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.1,nan
