,AG,Austria,China,DM,Israel,KY,Netherlands,SW,Spain,Sweden,UK,US
AG,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0
Austria,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0
China,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0
Israel,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0
KY,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,1.0
SW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,1.0,1.0
Spain,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0
Sweden,nan,nan,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0
UK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,nan,1.0
US,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,nan
