,AG,China,DM,Denmark,Israel,SW,Spain,Sweden,UK,US
AG,nan,0.125,0.07142857142857142,0.09090909090909091,0.09090909090909091,0.0,0.1,0.08333333333333333,0.09090909090909091,0.0
China,0.125,nan,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DM,0.07142857142857142,0.1111111111111111,nan,0.18181818181818182,0.0,0.5,0.09090909090909091,0.16666666666666666,0.18181818181818182,0.0
Denmark,0.09090909090909091,0.0,0.18181818181818182,nan,0.1111111111111111,0.2,0.125,0.2222222222222222,0.42857142857142855,0.0
Israel,0.09090909090909091,0.0,0.0,0.1111111111111111,nan,0.09090909090909091,0.125,0.375,0.1111111111111111,0.1111111111111111
SW,0.0,0.0,0.5,0.2,0.09090909090909091,nan,0.0,0.3,0.2,0.0
Spain,0.1,0.0,0.09090909090909091,0.125,0.125,0.0,nan,0.1111111111111111,0.125,0.125
Sweden,0.08333333333333333,0.0,0.16666666666666666,0.2222222222222222,0.375,0.3,0.1111111111111111,nan,0.375,0.1
UK,0.09090909090909091,0.0,0.18181818181818182,0.42857142857142855,0.1111111111111111,0.2,0.125,0.375,nan,0.0
US,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.125,0.1,0.0,nan
