,AG,BF,China,DM,Denmark,GH,Israel,KY,SW,Spain,US
AG,nan,0.16666666666666666,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.11764705882352941,0.18181818181818182,0.23076923076923078,0.3333333333333333,0.4,0.25
BF,0.16666666666666666,nan,0.125,0.05,0.125,0.2222222222222222,0.06666666666666667,0.1875,0.05555555555555555,0.13333333333333333,0.125
China,0.36363636363636365,0.125,nan,0.15384615384615385,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.3,0.18181818181818182,0.375,0.3333333333333333
DM,0.6363636363636364,0.05,0.15384615384615385,nan,0.25,0.11764705882352941,0.18181818181818182,0.23076923076923078,0.45454545454545453,0.2727272727272727,0.15384615384615385
Denmark,0.36363636363636365,0.125,0.3333333333333333,0.25,nan,0.06666666666666667,0.25,0.18181818181818182,0.3,0.375,0.5
GH,0.11764705882352941,0.2222222222222222,0.06666666666666667,0.11764705882352941,0.06666666666666667,nan,0.07692307692307693,0.3076923076923077,0.0625,0.07142857142857142,0.06666666666666667
Israel,0.18181818181818182,0.06666666666666667,0.1111111111111111,0.18181818181818182,0.25,0.07692307692307693,nan,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.1111111111111111
KY,0.23076923076923078,0.1875,0.3,0.23076923076923078,0.18181818181818182,0.3076923076923077,0.2222222222222222,nan,0.2727272727272727,0.2,0.08333333333333333
SW,0.3333333333333333,0.05555555555555555,0.18181818181818182,0.45454545454545453,0.3,0.0625,0.2222222222222222,0.2727272727272727,nan,0.3333333333333333,0.3
Spain,0.4,0.13333333333333333,0.375,0.2727272727272727,0.375,0.07142857142857142,0.2857142857142857,0.2,0.3333333333333333,nan,0.2222222222222222
US,0.25,0.125,0.3333333333333333,0.15384615384615385,0.5,0.06666666666666667,0.1111111111111111,0.08333333333333333,0.3,0.2222222222222222,nan
