,AG,BF,China,DM,France,GH,Israel,KY,SW,Spain,Sweden,UK,US
AG,nan,0.7142857142857143,0.6,1.0,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.375,0.5,0.1
BF,0.7142857142857143,nan,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.75,0.375,0.5,0.5,0.375,0.4444444444444444,0.375,0.08333333333333333
China,0.6,0.42857142857142855,nan,0.6,0.6,0.42857142857142855,0.16666666666666666,0.3333333333333333,0.6,0.4,0.2857142857142857,0.4,0.125
DM,1.0,0.7142857142857143,0.6,nan,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.375,0.5,0.1
France,0.42857142857142855,0.3333333333333333,0.6,0.42857142857142855,nan,0.3333333333333333,0.125,0.25,0.42857142857142855,0.2857142857142857,0.375,0.5,0.2222222222222222
GH,0.7142857142857143,0.75,0.42857142857142855,0.7142857142857143,0.3333333333333333,nan,0.2222222222222222,0.5,0.5,0.2222222222222222,0.3,0.375,0.08333333333333333
Israel,0.2857142857142857,0.375,0.16666666666666666,0.2857142857142857,0.125,0.2222222222222222,nan,0.2857142857142857,0.125,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.25
KY,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.25,0.5,0.2857142857142857,nan,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.5,0.2222222222222222
SW,0.6666666666666666,0.5,0.6,0.6666666666666666,0.42857142857142855,0.5,0.125,0.42857142857142855,nan,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.1
Spain,0.2857142857142857,0.375,0.4,0.2857142857142857,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.2857142857142857,0.2857142857142857,nan,0.42857142857142855,0.3333333333333333,0.1111111111111111
Sweden,0.375,0.4444444444444444,0.2857142857142857,0.375,0.375,0.3,0.42857142857142855,0.5714285714285714,0.2222222222222222,0.42857142857142855,nan,0.6666666666666666,0.3333333333333333
UK,0.5,0.375,0.4,0.5,0.5,0.375,0.3333333333333333,0.5,0.2857142857142857,0.3333333333333333,0.6666666666666666,nan,0.25
US,0.1,0.08333333333333333,0.125,0.1,0.2222222222222222,0.08333333333333333,0.25,0.2222222222222222,0.1,0.1111111111111111,0.3333333333333333,0.25,nan
