,AG,China,Denmark,Germany,Israel,Netherlands,SW,Spain,Sweden,UK,US
AG,nan,0.5333333333333333,0.21428571428571427,0.23529411764705882,0.2,0.3125,0.4,0.2857142857142857,0.3076923076923077,0.16666666666666666,0.2857142857142857
China,0.5333333333333333,nan,0.14285714285714285,0.17647058823529413,0.21428571428571427,0.25,0.3333333333333333,0.3076923076923077,0.23076923076923078,0.17647058823529413,0.13333333333333333
Denmark,0.21428571428571427,0.14285714285714285,nan,0.4,0.5714285714285714,0.2727272727272727,0.4,0.375,0.6666666666666666,0.4,0.375
Germany,0.23529411764705882,0.17647058823529413,0.4,nan,0.36363636363636365,0.2857142857142857,0.5,0.25,0.4,0.38461538461538464,0.36363636363636365
Israel,0.2,0.21428571428571427,0.5714285714285714,0.36363636363636365,nan,0.36363636363636365,0.5,0.5,0.5714285714285714,0.5,0.3333333333333333
Netherlands,0.3125,0.25,0.2727272727272727,0.2857142857142857,0.36363636363636365,nan,0.38461538461538464,0.5,0.2727272727272727,0.5,0.5
SW,0.4,0.3333333333333333,0.4,0.5,0.5,0.38461538461538464,nan,0.5,0.5555555555555556,0.5,0.36363636363636365
Spain,0.2857142857142857,0.3076923076923077,0.375,0.25,0.5,0.5,0.5,nan,0.5714285714285714,0.5,0.5
Sweden,0.3076923076923077,0.23076923076923078,0.6666666666666666,0.4,0.5714285714285714,0.2727272727272727,0.5555555555555556,0.5714285714285714,nan,0.4,0.375
UK,0.16666666666666666,0.17647058823529413,0.4,0.38461538461538464,0.5,0.5,0.5,0.5,0.4,nan,0.36363636363636365
US,0.2857142857142857,0.13333333333333333,0.375,0.36363636363636365,0.3333333333333333,0.5,0.36363636363636365,0.5,0.375,0.36363636363636365,nan
