,AG,Austria,BF,China,DM,Denmark,Fiji,GH,Germany,Israel,KY,Kazakhstan,SW,Spain,Sweden,UK,US
AG,nan,0.25,0.14285714285714285,0.0,0.3333333333333333,0.2727272727272727,0.13333333333333333,0.1875,0.23076923076923078,0.18181818181818182,0.23076923076923078,0.26666666666666666,0.3333333333333333,0.25,0.125,0.375,0.21428571428571427
Austria,0.25,nan,0.3076923076923077,0.0,0.7,0.6666666666666666,0.125,0.17647058823529413,0.0,0.4,0.4166666666666667,0.42857142857142855,0.5454545454545454,0.6,0.1875,0.2,0.6363636363636364
BF,0.14285714285714285,0.3076923076923077,nan,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.058823529411764705,0.36363636363636365,0.5,0.23529411764705882,0.2857142857142857,0.3076923076923077,0.05263157894736842,0.18181818181818182,0.26666666666666666
China,0.0,0.0,0.3333333333333333,nan,0.0,0.0,0.21428571428571427,0.1875,0.23076923076923078,0.08333333333333333,0.23076923076923078,0.05555555555555555,0.0,0.0,0.058823529411764705,0.0,0.0625
DM,0.3333333333333333,0.7,0.2857142857142857,0.0,nan,0.6,0.11764705882352941,0.23529411764705882,0.058823529411764705,0.5,0.38461538461538464,0.5,0.5,0.5454545454545454,0.17647058823529413,0.18181818181818182,0.46153846153846156
Denmark,0.2727272727272727,0.6666666666666666,0.3333333333333333,0.0,0.6,nan,0.13333333333333333,0.1875,0.0,0.4444444444444444,0.45454545454545453,0.35714285714285715,0.45454545454545453,0.6666666666666666,0.125,0.2222222222222222,0.4166666666666667
Fiji,0.13333333333333333,0.125,0.26666666666666666,0.21428571428571427,0.11764705882352941,0.13333333333333333,nan,0.1,0.11764705882352941,0.14285714285714285,0.1875,0.15789473684210525,0.1875,0.125,0.10526315789473684,0.07692307692307693,0.17647058823529413
GH,0.1875,0.17647058823529413,0.16666666666666666,0.1875,0.23529411764705882,0.1875,0.1,nan,0.16666666666666666,0.125,0.3125,0.14285714285714285,0.10526315789473684,0.1111111111111111,0.09523809523809523,0.06666666666666667,0.2222222222222222
Germany,0.23076923076923078,0.0,0.058823529411764705,0.23076923076923078,0.058823529411764705,0.0,0.11764705882352941,0.16666666666666666,nan,0.07142857142857142,0.125,0.10526315789473684,0.0,0.0,0.1111111111111111,0.08333333333333333,0.11764705882352941
Israel,0.18181818181818182,0.4,0.36363636363636365,0.08333333333333333,0.5,0.4444444444444444,0.14285714285714285,0.125,0.07142857142857142,nan,0.5,0.5,0.5,0.4,0.13333333333333333,0.1111111111111111,0.3333333333333333
KY,0.23076923076923078,0.4166666666666667,0.5,0.23076923076923078,0.38461538461538464,0.45454545454545453,0.1875,0.3125,0.125,0.5,nan,0.4,0.38461538461538464,0.4166666666666667,0.17647058823529413,0.18181818181818182,0.35714285714285715
Kazakhstan,0.26666666666666666,0.42857142857142855,0.23529411764705882,0.05555555555555555,0.5,0.35714285714285715,0.15789473684210525,0.14285714285714285,0.10526315789473684,0.5,0.4,nan,0.4,0.3333333333333333,0.15,0.06666666666666667,0.375
SW,0.3333333333333333,0.5454545454545454,0.2857142857142857,0.0,0.5,0.45454545454545453,0.1875,0.10526315789473684,0.0,0.5,0.38461538461538464,0.4,nan,0.4166666666666667,0.1111111111111111,0.18181818181818182,0.35714285714285715
Spain,0.25,0.6,0.3076923076923077,0.0,0.5454545454545454,0.6666666666666666,0.125,0.1111111111111111,0.0,0.4,0.4166666666666667,0.3333333333333333,0.4166666666666667,nan,0.1875,0.2,0.38461538461538464
Sweden,0.125,0.1875,0.05263157894736842,0.058823529411764705,0.17647058823529413,0.125,0.10526315789473684,0.09523809523809523,0.1111111111111111,0.13333333333333333,0.17647058823529413,0.15,0.1111111111111111,0.1875,nan,0.07142857142857142,0.16666666666666666
UK,0.375,0.2,0.18181818181818182,0.0,0.18181818181818182,0.2222222222222222,0.07692307692307693,0.06666666666666667,0.08333333333333333,0.1111111111111111,0.18181818181818182,0.06666666666666667,0.18181818181818182,0.2,0.07142857142857142,nan,0.16666666666666666
US,0.21428571428571427,0.6363636363636364,0.26666666666666666,0.0625,0.46153846153846156,0.4166666666666667,0.17647058823529413,0.2222222222222222,0.11764705882352941,0.3333333333333333,0.35714285714285715,0.375,0.35714285714285715,0.38461538461538464,0.16666666666666666,0.16666666666666666,nan
