,AG,China,DM,Denmark,Fiji,Israel,KY,SW,Spain,US
AG,nan,0.3076923076923077,0.45454545454545453,0.0,0.4444444444444444,0.15384615384615385,0.2727272727272727,0.3333333333333333,0.125,0.375
China,0.3076923076923077,nan,0.1875,0.0,0.14285714285714285,0.125,0.13333333333333333,0.26666666666666666,0.4,0.2727272727272727
DM,0.45454545454545453,0.1875,nan,0.0,0.36363636363636365,0.13333333333333333,0.23076923076923078,0.2857142857142857,0.1111111111111111,0.18181818181818182
Denmark,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,0.4444444444444444,0.14285714285714285,0.36363636363636365,0.0,nan,0.16666666666666666,0.3,0.36363636363636365,0.0625,0.25
Israel,0.15384615384615385,0.125,0.13333333333333333,0.0,0.16666666666666666,nan,0.15384615384615385,0.13333333333333333,0.05555555555555555,0.2
KY,0.2727272727272727,0.13333333333333333,0.23076923076923078,0.0,0.3,0.15384615384615385,nan,0.14285714285714285,0.058823529411764705,0.2222222222222222
SW,0.3333333333333333,0.26666666666666666,0.2857142857142857,0.0,0.36363636363636365,0.13333333333333333,0.14285714285714285,nan,0.05263157894736842,0.18181818181818182
Spain,0.125,0.4,0.1111111111111111,0.0,0.0625,0.05555555555555555,0.058823529411764705,0.05263157894736842,nan,0.15384615384615385
US,0.375,0.2727272727272727,0.18181818181818182,0.0,0.25,0.2,0.2222222222222222,0.18181818181818182,0.15384615384615385,nan
