population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	92	92	0	35522	6438	29084	45523.356059470745	209642.802091195	16.8	96218.63863928309	220	481	3050	0	0	149.2
China	82	82	0	31553	5872	25681	99999.99998260883	460517.0185187198	14.5	96218.63863928309	209	434	2510	6	2	105.3
SW	75	75	0	34244	6379	27865	30483.552767265795	140381.94836680722	15.1	96218.63863928309	222	490	3025	8	1	139.4
Netherlands	54	54	0	31967	6118	25849	27890.309509831826	128439.62183265765	14.1	96218.63863928309	224	499	2824	64	1	124.8
US	50	50	0	34128	6365	27763	35102.32028907591	161652.15885425726	15.1	96218.63863928309	239	568	2915	127	1	167.1
Israel	47	47	0	32489	6202	26287	27892.831938446598	128451.23804571068	14.1	96218.63863928309	226	508	2756	0	0	133.0
Sweden	42	42	0	32190	6180	26010	29805.400105277007	137258.939946268	13.7	96218.63863928309	228	517	2780	2	0	131.0
KY	31	31	0	38002	7037	30965	9802.70802612275	45143.138743846655	14.6	96218.63863928309	257	657	3102	0	0	226.2
UK	30	30	0	35427	6675	28752	18801.65599154961	86584.82561948862	14.3	96218.63863928309	245	597	3091	20	1	172.6
DM	27	27	0	36391	6752	29639	9546.432818869835	43962.94779999761	14.1	96218.63863928309	248	612	2994	0	0	184.9
Austria	26	26	0	31523	6037	25486	21491.157941996757	98970.43981684464	14.1	96218.63863928309	224	499	2735	0	0	125.9
Spain	22	22	0	32128	6005	26123	16965.54455121354	78129.21995630131	14.0	96218.63863928309	220	481	2760	0	0	135.6
