Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	217	217	217	217	217	True
BF	150	150	150	150	150	True
Fiji	188	127	127	127	127	True
DM	109	109	109	109	109	True
GH	104	104	104	104	104	True
KY	90	90	90	90	90	True
SW	38	38	38	38	38	True
Israel	17	17	17	17	17	False
Denmark	31	15	15	15	15	False
China	19	13	13	13	13	False
Kazakhstan	16	11	11	11	11	False
Netherlands	11	6	6	6	6	False
US	6	6	6	6	6	False
France	5	5	5	5	5	False
Spain	32	5	5	5	5	False
Sweden	7	5	5	5	5	False
UK	4	4	4	4	4	False
Germany	1	1	1	1	1	False
Austria	1	1	1	1	1	False
Bangladesh	4	1	0	0	0	False
Australia	2	2	0	0	0	False
Madagascar	60	60	0	0	0	False
Peru	30	6	0	0	0	False
Tanzania	11	5	0	0	0	False
Mongolia	16	9	0	0	0	False
