Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	97	97	97	97	97	True
China	110	98	98	80	80	True
Denmark	140	89	89	74	74	True
US	134	66	66	60	60	True
DM	44	44	44	44	44	True
SW	41	41	41	41	41	True
KY	39	39	39	39	39	True
Netherlands	61	45	45	36	36	True
BF	35	35	35	35	35	True
Israel	36	36	36	32	32	True
GH	22	22	22	22	22	True
Spain	80	29	29	21	21	True
Fiji	32	24	24	17	17	False
UK	20	18	18	16	16	False
Kazakhstan	21	18	18	16	16	False
Sweden	41	21	21	16	16	False
Austria	25	18	18	15	15	False
France	19	19	19	13	13	False
Germany	21	9	9	6	6	False
Tanzania	3	2	0	0	0	False
Peru	3	2	0	0	0	False
Russia	4	0	0	0	0	False
Canada	5	4	0	0	0	False
Mongolia	4	2	0	0	0	False
Madagascar	1	1	0	0	0	False
Japan	1	1	0	0	0	False
Ireland	2	2	0	0	0	False
Finland	2	1	0	0	0	False
ElSalvador	1	1	0	0	0	False
Italy	3	3	0	0	0	False
