population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan	failed_stage
AG	97	97	0	10024	2402	7622	1001.5183159633967	4612.1622893956355	21.5	3191.396188983146	10.0	3.0	1523.0	57.0	9.0	1.5	
China	80	80	0	8551	1957	6594	907.356140866667	4178.529447992385	20.8	3191.396188983146	8.0	3.0	1163.0	34.0	6.0	0.9	
Denmark	74	74	0	8899	2105	6794	2882.4413430614136	13274.132935925893	20.9	3191.396188983146	9.0	3.0	1286.0	57.0	6.0	1.1	
US	60	60	0	9407	2219	7188	1534.270987453325	7065.57900864656	19.6	3191.396188983146	9.0	3.0	1401.0	51.0	6.0	1.1	
DM	44	44	0	9230	2175	7055	828.7910145139724	3816.723670454569	18.6	3191.396188983146	9.0	3.0	1353.0	42.0	9.0	1.1	
SW	41	41	0	9044	2154	6890	2003.9941642905944	9228.734178285165	18.4	3191.396188983146	9.0	3.0	1327.0	41.0	7.0	1.1	
KY	39	39	0	9928	2319	7609	642.4046600078825	2958.382787608117	17.3	3191.396188983146	9.0	3.0	1433.0	42.0	7.0	1.1	
Netherlands	36	36	0	8938	2117	6821	2211.1830816315683	10182.874403290969	18.8								scan
BF	35	35	0	17619	3900	13719	316.70885144385625	1458.498160307778	17.8	3191.396188983146	14.0	3.0	2795.0	98.0	12.0	2.3	
Israel	32	32	0	8278	1925	6353	677.7576267615962	3121.189216088547	16.9	3191.396188983146	8.0	3.0	1152.0	36.0	4.0	0.9	
GH	22	22	0	15568	2926	12642	308.51294898858765	1420.7546346735087	17.4	3191.396188983146	12.0	3.0	2042.0	76.0	10.0	1.7	
Spain	21	21	0	8566	2006	6560	975.3652173910456	4491.722819579036	16.4	3191.396188983146	8.0	3.0	1239.0	33.0	5.0	1.0	
