Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	131	121	121	121	121	True
AG	99	99	99	99	99	True
Denmark	87	64	64	64	64	True
SW	61	61	61	61	61	True
Israel	59	59	59	59	59	True
US	71	56	56	56	56	True
DM	48	48	48	48	48	True
KY	44	44	44	44	44	True
UK	41	40	40	40	40	True
Spain	63	31	31	31	31	True
Sweden	52	30	30	30	30	True
BF	29	29	29	29	29	True
Fiji	44	27	27	27	27	True
Kazakhstan	32	25	25	25	25	True
GH	25	25	25	25	25	True
Austria	34	22	22	22	22	True
Germany	36	20	20	20	20	True
France	13	13	13	13	13	False
Netherlands	25	8	8	8	8	False
Japan	2	1	0	0	0	False
Estonia	1	0	0	0	0	False
Madagascar	1	1	0	0	0	False
Mongolia	20	12	0	0	0	False
Peru	6	3	0	0	0	False
Canada	8	6	0	0	0	False
Italy	1	1	0	0	0	False
