population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	121	121	0	42369	6858	35511	1467.4473130331987	6757.84461548882	36.7	13215.366988212678	47	21	6260	206	7	20.8
AG	99	99	0	44169	7095	37074	2007.3700901937764	9244.280891604603	36.1	13215.366988212678	49	23	6475	151	7	22.4
Denmark	64	64	0	47646	7756	39890	3323.5100048348963	15305.3291870988	34.6	13215.366988212678	55	29	7044	390	7	29.5
SW	61	61	0	50095	8310	41785	3682.329172401811	16957.75251973902	40.1	13215.366988212678	59	34	7552	356	9	34.6
Israel	59	59	0	49879	8210	41669	4432.509408759917	20412.460178332873	38.7	13215.366988212678	58	33	7450	357	6	34.3
US	56	56	0	50275	8802	41473	3550.2055804887787	16349.300893395468	40.5	13215.366988212678	62	37	8004	348	10	37.1
DM	48	48	0	50131	8207	41924	3966.57186999016	18266.738516257716	38.9	13215.366988212678	58	33	7445	400	9	34.7
KY	44	44	0	59300	9960	49340	2760.8779453860984	12714.312801244118	46.3	13215.366988212678	70	48	9041	427	9	56.8
UK	40	40	0	42723	6832	35891	969.6717335849254	4465.503357700685	31.5	13215.366988212678	47	21	6240	141	4	20.2
Spain	31	31	0	49017	8560	40457	3283.421970214507	15120.716965250125	42.5	13215.366988212678	60	35	7800	324	8	33.4
Sweden	30	30	0	47045	7960	39085	2367.947354873059	10904.800560650772	38.1	13215.366988212678	55	29	7263	211	11	28.7
BF	29	29	0	66164	11017	55147	2304.023624846329	10610.420904954524	57.3	13215.366988212678	76	57	10075	372	9	74.3
Fiji	27	27	0	42021	7119	34902	1012.1186046188121	4660.978422674422	34.9	13215.366988212678	49	23	6509	229	10	19.7
GH	25	25	0	60369	10173	50196	1249.5015247518488	5754.167169133875	55.6	13215.366988212678	70	48	9261	331	12	56.8
Kazakhstan	25	25	0	56228	9296	46932	4079.573627042263	18787.13083879833	43.9	13215.366988212678	65	41	8477	434	12	46.0
Austria	22	22	0	47315	7905	39410	3873.6818403408506	17838.964121141165	36.6	13215.366988212678	55	29	7187	309	8	26.9
Germany	20	20	0	44006	7154	36852	631.4992822161781	2908.1616669348227	37.0	13215.366988212678	50	24	6523	155	9	21.7
