Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	390	335	335	335	335	True
AG	188	188	188	188	188	True
US	270	177	177	177	177	True
Israel	145	145	145	145	145	True
Denmark	193	138	138	138	138	True
Sweden	182	118	118	118	118	True
Netherlands	142	112	112	112	112	True
SW	87	87	87	87	87	True
Spain	165	86	86	86	86	True
KY	78	78	78	78	78	True
Austria	77	70	70	70	70	True
DM	67	67	67	67	67	True
BF	65	65	65	65	65	True
GH	62	62	62	62	62	True
UK	48	44	44	44	44	True
Germany	68	42	42	42	42	True
France	19	19	19	19	19	False
Kazakhstan	18	14	14	14	14	False
Fiji	11	8	8	8	8	False
Ecuador	1	1	0	0	0	False
ElSalvador	7	4	0	0	0	False
Estonia	6	0	0	0	0	False
Russia	12	0	0	0	0	False
Peru	12	6	0	0	0	False
Madagascar	8	8	0	0	0	False
Mongolia	8	4	0	0	0	False
Finland	32	0	0	0	0	False
Japan	7	5	0	0	0	False
Italy	5	4	0	0	0	False
Canada	16	12	0	0	0	False
Australia	6	6	0	0	0	False
Iceland	1	0	0	0	0	False
