population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	335	335	0	18607	4320	14287	4129.697521537468	19017.95990333326	27.3	19849.59971828904	47	21	4147	153	7	8.8
AG	188	188	0	17506	4029	13477	5337.9609638561915	24582.218684718788	20.1	19849.59971828904	44	18	3846	187	7	7.4
US	177	177	0	16502	3631	12871	4495.607848300743	20703.039230888655	21.5	19849.59971828904	39	14	3459	122	5	6.3
Israel	145	145	0	16328	3675	12653	6252.166658460967	28792.29149337323	19.5	19849.59971828904	38	14	3524	144	6	5.8
Denmark	138	138	0	16190	3576	12614	5069.509966146632	23345.956153667965	18.1	19849.59971828904	38	14	3384	138	4	6.0
Sweden	118	118	0	16489	3681	12808	5568.710311032205	25644.85869876998	18.2	19849.59971828904	39	14	3499	121	3	5.8
Netherlands	112	112	0	16524	3691	12833	4583.636916709377	21108.4280722244	17.8	19849.59971828904	38	14	3516	123	5	5.8
SW	87	87	0	16312	3668	12644	4767.716208650906	21956.14453933133	15.5	19849.59971828904	38	14	3483	106	5	5.8
Spain	86	86	0	16291	3617	12674	4055.723730038017	18677.29800417549	14.9	19849.59971828904	38	14	3462	101	6	5.7
KY	78	78	0	16781	3850	12931	4696.113189851564	21626.400451929854	14.3	19849.59971828904	42	17	3674	158	4	6.7
Austria	70	70	0	16867	3809	13058	3975.6281266867522	18308.444119593518	14.4	19849.59971828904	41	16	3611	131	7	6.5
DM	67	67	0	16979	3896	13083	4445.563147369438	20472.57486619312	14.2	19849.59971828904	42	17	3694	161	6	6.6
BF	65	65	0	20704	4631	16073	3234.578130237668	14895.782769619613	14.7	19849.59971828904	49	23	4458	143	6	9.5
GH	62	62	0	19108	4026	15082	3364.1152172550633	15492.323100731866	15.1	19849.59971828904	44	18	3859	124	4	7.8
UK	44	44	0	16902	3759	13143	3339.427491140588	15378.631920469645	15.5	19849.59971828904	40	15	3568	121	6	6.3
Germany	42	42	0	16319	3652	12667	2847.4959307844388	13113.203365170906	15.7	19849.59971828904	39	14	3457	107	5	5.9
