Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	68	63	63	63	63	True
AG	62	62	62	62	62	True
US	66	48	48	48	48	True
Denmark	63	44	44	44	44	True
UK	43	43	43	43	43	True
Sweden	51	33	33	33	33	True
Spain	33	27	27	27	27	True
SW	25	25	25	25	25	True
Israel	23	23	23	23	23	True
DM	23	23	23	23	23	True
KY	14	14	14	14	14	False
Austria	18	13	13	13	13	False
France	8	8	8	8	8	False
GH	8	8	8	8	8	False
Kazakhstan	8	8	8	8	8	False
Germany	11	7	7	7	7	False
Netherlands	2	2	2	2	2	False
BF	2	2	2	2	2	False
Fiji	1	1	1	1	1	False
Canada	5	5	0	0	0	False
Madagascar	1	1	0	0	0	False
Mongolia	2	1	0	0	0	False
Ireland	1	1	0	0	0	False
Australia	4	4	0	0	0	False
Finland	3	0	0	0	0	False
