Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	85	85	85	85	85	True
BF	64	64	64	64	64	True
DM	42	42	42	42	42	True
SW	28	28	28	28	28	True
KY	28	28	28	28	28	True
GH	20	20	20	20	20	True
Denmark	18	15	15	15	15	False
Israel	15	15	15	15	15	False
Fiji	14	7	7	7	7	False
China	7	7	7	7	7	False
Kazakhstan	9	7	7	7	7	False
Spain	8	6	6	6	6	False
US	6	6	6	6	6	False
Sweden	5	3	3	3	3	False
UK	2	2	2	2	2	False
France	1	1	1	1	1	False
Netherlands	1	1	1	1	1	False
Mongolia	2	2	0	0	0	False
Peru	9	3	0	0	0	False
Canada	3	2	0	0	0	False
