Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
Denmark	246	174	174	174	174	True
US	216	160	160	160	160	True
China	155	139	139	139	139	True
UK	137	133	133	133	133	True
Israel	120	120	120	120	120	True
Spain	169	96	96	96	96	True
Sweden	140	68	68	68	68	True
AG	40	40	40	40	40	True
Germany	60	29	29	29	29	True
SW	25	25	25	25	25	True
France	19	19	19	19	19	False
Kazakhstan	17	15	15	15	15	False
Austria	23	13	13	13	13	False
DM	11	11	11	11	11	False
KY	8	8	8	8	8	False
GH	5	5	5	5	5	False
Netherlands	5	4	4	4	4	False
Fiji	6	4	4	4	4	False
BF	3	3	3	3	3	False
Canada	30	19	0	0	0	False
Russia	5	0	0	0	0	False
Estonia	4	0	0	0	0	False
Mongolia	4	4	0	0	0	False
Madagascar	1	1	0	0	0	False
Japan	1	1	0	0	0	False
Italy	7	6	0	0	0	False
Australia	4	4	0	0	0	False
Finland	4	0	0	0	0	False
Ireland	3	2	0	0	0	False
