population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	92	92	0	35522	6438	29084	9.4	12086.765224286772	55661.6108559231	137	186	3882	34	1	67.5
China	82	82	0	31553	5872	25681	7.9	12086.765224286772	55661.6108559231	124	152	3451	82	2	48.8
SW	75	75	0	34244	6379	27865	8.1	12086.765224286772	55661.6108559231	137	186	3832	6	1	61.4
Netherlands	54	54	0	31967	6118	25849	6.9	12086.765224286772	55661.6108559231	136	183	3568	26	2	54.9
US	50	50	0	34128	6365	27763	7.2	12086.765224286772	55661.6108559231	140	194	3800	81	2	67.1
Israel	47	47	0	32489	6202	26287	7.1	12086.765224286772	55661.6108559231	137	186	3694	17	1	56.9
Sweden	42	42	0	32190	6180	26010	6.6	12086.765224286772	55661.6108559231	137	186	3652	50	4	56.4
KY	31	31	0	38002	7037	30965	7.1	12086.765224286772	55661.6108559231	152	229	4173	6	1	92.6
UK	30	30	0	35427	6675	28752	6.8	12086.765224286772	55661.6108559231	146	211	3998	48	4	74.0
DM	27	27	0	36391	6752	29639	6.6	12086.765224286772	55661.6108559231	144	205	4032	6	1	72.0
Austria	26	26	0	31523	6037	25486	6.0	12086.765224286772	55661.6108559231	134	178	3533	34	2	52.9
Spain	22	22	0	32128	6005	26123	6.1	12086.765224286772	55661.6108559231	132	172	3554	9	1	56.1
