Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	92	92	92	92	92	True
China	91	82	82	82	82	True
SW	75	75	75	75	75	True
Netherlands	68	54	54	54	54	True
US	58	50	50	50	50	True
Israel	47	47	47	47	47	True
Sweden	65	42	42	42	42	True
KY	31	31	31	31	31	True
UK	30	30	30	30	30	True
DM	27	27	27	27	27	True
Austria	28	26	26	26	26	True
Spain	39	22	22	22	22	True
GH	19	19	19	19	19	False
Denmark	28	18	18	18	18	False
BF	17	17	17	17	17	False
Germany	15	14	14	14	14	False
Kazakhstan	5	5	5	5	5	False
Fiji	3	3	3	3	3	False
France	3	3	3	3	3	False
Mongolia	9	6	0	0	0	False
Bangladesh	2	0	0	0	0	False
Peru	1	0	0	0	0	False
Russia	4	0	0	0	0	False
Finland	8	0	0	0	0	False
Japan	1	1	0	0	0	False
Italy	2	1	0	0	0	False
Canada	1	1	0	0	0	False
