Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	116	107	107	107	107	True
Israel	78	78	78	78	78	True
Denmark	105	77	77	77	77	True
US	116	64	64	64	64	True
UK	49	48	48	48	48	True
Sweden	74	41	41	41	41	True
Netherlands	46	33	33	33	33	True
Spain	50	26	26	26	26	True
AG	23	23	23	23	23	True
Germany	30	20	20	20	20	True
Fiji	28	20	20	20	20	True
SW	19	19	19	19	19	False
Austria	29	17	17	17	17	False
KY	15	15	15	15	15	False
Kazakhstan	16	14	14	14	14	False
France	13	13	13	13	13	False
DM	7	7	7	7	7	False
BF	4	4	4	4	4	False
GH	4	4	4	4	4	False
Canada	5	4	0	0	0	False
Madagascar	2	2	0	0	0	False
Peru	3	0	0	0	0	False
Mongolia	2	2	0	0	0	False
Japan	1	1	0	0	0	False
Finland	1	0	0	0	0	False
Italy	4	3	0	0	0	False
