population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	121	121	0	42369	6858	35511	21.6	4494.584593961132	20698.326970511192	73	52	5974	148	6	39.3
AG	99	99	0	44169	7095	37074	21.2	4494.584593961132	20698.326970511192	76	57	6156	196	4	46.2
Denmark	64	64	0	47646	7756	39890	22.2	4494.584593961132	20698.326970511192	83	68	6747	402	6	55.0
SW	61	61	0	50095	8310	41785	23.9	4494.584593961132	20698.326970511192	90	80	7210	321	8	67.6
Israel	59	59	0	49879	8210	41669	23.8	4494.584593961132	20698.326970511192	88	76	7134	374	7	66.9
US	56	56	0	50275	8802	41473	24.2	4494.584593961132	20698.326970511192	94	87	7690	366	7	71.1
DM	48	48	0	50131	8207	41924	23.8	4494.584593961132	20698.326970511192	89	78	7130	419	6	65.6
KY	44	44	0	59300	9960	49340	30.2	4494.584593961132	20698.326970511192	107	113	8675	463	6	113.9
UK	40	40	0	42723	6832	35891	15.8	4494.584593961132	20698.326970511192	73	52	5942	126	3	41.5
Spain	31	31	0	49017	8560	40457	20.2	4494.584593961132	20698.326970511192	93	85	7469	311	8	65.3
Sweden	30	30	0	47045	7960	39085	19.7	4494.584593961132	20698.326970511192	84	69	6925	271	12	56.5
BF	29	29	0	66164	11017	55147	35.5	4494.584593961132	20698.326970511192	115	131	9695	342	7	154.5
Fiji	27	27	0	42021	7119	34902	15.0	4494.584593961132	20698.326970511192	74	54	6219	148	7	37.3
GH	25	25	0	60369	10173	50196	29.8	4494.584593961132	20698.326970511192	106	111	8890	244	7	113.7
Kazakhstan	25	25	0	56228	9296	46932	26.9	4494.584593961132	20698.326970511192	100	99	8103	334	6	93.8
Austria	22	22	0	47315	7905	39410	19.4	4494.584593961132	20698.326970511192	85	71	6855	330	3	55.3
Germany	20	20	0	44006	7154	36852	18.0	4494.584593961132	20698.326970511192	76	57	6230	94	4	44.2
