Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	87	87	87	87	87	True
China	91	84	84	84	84	True
SW	53	53	53	53	53	True
DM	48	48	48	48	48	True
US	57	46	46	46	46	True
GH	20	20	20	20	20	True
KY	18	18	18	18	18	False
Germany	17	10	10	10	10	False
Fiji	13	9	9	9	9	False
Israel	9	9	9	9	9	False
Denmark	8	7	7	7	7	False
BF	7	7	7	7	7	False
Kazakhstan	6	6	6	6	6	False
Spain	8	5	5	5	5	False
Sweden	5	3	3	3	3	False
Netherlands	2	2	2	2	2	False
Finland	10	0	0	0	0	False
Madagascar	1	1	0	0	0	False
Mongolia	40	23	0	0	0	False
Canada	1	1	0	0	0	False
