population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	63	63	0	27364	5311	22053	5609.02115144247	25830.496979199455	15.0	21184.041548997757	53	27	3790	12	2	9.1
AG	62	62	0	37840	7309	30531	5250.847748255161	24181.047501427365	16.6	21184.041548997757	70	48	5235	102	7	19.9
US	48	48	0	29598	6033	23565	6228.98595587702	28685.540412943385	13.9	21184.041548997757	59	34	4393	40	5	10.8
Denmark	44	44	0	31231	6361	24870	6340.994036711101	29201.35668739024	14.8	21184.041548997757	62	37	4603	94	5	12.8
UK	43	43	0	31507	6393	25114	6027.134464680357	27755.979943687274	15.3	21184.041548997757	62	37	4614	64	5	12.5
Sweden	33	33	0	33728	6973	26755	4068.8401462600136	18737.701333108038	15.7	21184.041548997757	67	44	5049	174	6	15.0
Spain	27	27	0	28425	5882	22543	4520.736580460808	20818.761319043864	13.7	21184.041548997757	60	35	4214	74	4	10.6
SW	25	25	0	39669	8055	31614	3454.6622059756296	15909.30739361882	16.6	21184.041548997757	77	58	5815	88	7	23.6
DM	23	23	0	39030	7790	31240	4607.748790142486	21219.46735288687	15.4	21184.041548997757	72	51	5638	193	8	21.0
Israel	23	23	0	33580	6874	26706	3397.044311742381	15643.967184916448	15.9	21184.041548997757	66	42	4954	79	5	14.6
