population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	214	214	0	19894	3828	16066	1003.5512267910875	4621.524189730089	29.6	5496.590174637679	15	3	3754	174	11	4.7
US	177	177	0	16609	3028	13581	1365.526975678237	6288.484116555902	24.5	5496.590174637679	12	3	2947	67	6	3.1
Israel	119	119	0	17242	3146	14096	1691.1124463710148	7787.860619181181	21.3	5496.590174637679	12	3	3069	87	6	3.0
Denmark	86	86	0	16767	3017	13750	1269.2584619159857	5845.151227128598	20.4	5496.590174637679	12	3	2952	56	5	2.7
AG	71	71	0	19082	3854	15228	763.6650586863913	3516.807560343415	22.4	5496.590174637679	15	3	3792	158	12	3.7
Sweden	66	66	0	16406	3013	13393	1259.8418273003626	5801.786022144387	20.1	5496.590174637679	12	3	2934	68	5	2.7
SW	54	54	0	17510	3386	14124	956.6633301283132	4405.597445934991	21.3	5496.590174637679	13	3	3303	87	9	3.2
Spain	49	49	0	17795	3209	14586	1171.9073787702096	5396.832921452022	20.2	5496.590174637679	12	3	3139	55	6	3.4
UK	47	47	0	16610	3029	13581	1208.1709040942967	5563.832627113332	20.3	5496.590174637679	12	3	2962	86	9	3.0
Netherlands	38	38	0	17633	3221	14412	1241.1287099011965	5715.6089318108525	20.4	5496.590174637679	12	3	3161	71	9	3.0
Germany	24	24	0	19735	3684	16051	1292.8929188019463	5953.991923341845	23.6	5496.590174637679	14	3	3632	73	9	3.6
