Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	145	137	137	137	137	True
AG	72	72	72	72	72	True
US	62	58	58	58	58	True
SW	42	42	42	42	42	True
Israel	27	27	27	27	27	True
Kazakhstan	24	22	22	22	22	True
UK	21	21	21	21	21	True
Spain	19	17	17	17	17	False
DM	16	16	16	16	16	False
Germany	31	16	16	16	16	False
KY	15	15	15	15	15	False
Sweden	14	13	13	13	13	False
Denmark	9	8	8	8	8	False
GH	8	8	8	8	8	False
Austria	8	7	7	7	7	False
BF	7	7	7	7	7	False
France	5	5	5	5	5	False
Netherlands	6	3	3	3	3	False
Fiji	2	2	2	2	2	False
Canada	7	6	0	0	0	False
Mongolia	4	3	0	0	0	False
Italy	1	1	0	0	0	False
