population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	347	347	0	19399	3651	15748	3841.764659107824	17691.980069706053	42.9	20734.62579302916	34	11	3582	113	8	7.1
US	212	212	0	18074	3411	14663	4341.957382289921	19995.45268575244	31.1	20734.62579302916	32	9	3346	119	8	5.4
Denmark	106	106	0	18055	3432	14623	4912.54166664819	22623.090420672488	25.4	20734.62579302916	32	9	3367	110	9	5.1
Spain	74	74	0	17060	3306	13754	5657.107731974771	26051.943866212925	18.8	20734.62579302916	30	8	3246	108	7	4.5
UK	71	71	0	19313	3637	15676	3827.512227614735	17626.34519711624	21.9	20734.62579302916	34	11	3568	89	8	5.7
Israel	55	55	0	17342	3358	13984	5420.459876442994	24962.140217339966	21.2	20734.62579302916	31	9	3297	91	5	4.9
AG	53	53	0	17705	3449	14256	5510.0773488734985	25374.843929520535	24.3	20734.62579302916	32	9	3384	86	7	5.2
SW	48	48	0	17685	3454	14231	5550.357058806324	25560.338848803432	20.7	20734.62579302916	32	9	3390	91	8	4.9
Sweden	40	40	0	19754	3754	16000	4156.6369099734275	19142.020371787294	22.6	20734.62579302916	35	11	3685	132	9	5.8
Germany	30	30	0	20158	3815	16343	4690.496015749488	21600.53240922547	21.7	20734.62579302916	35	11	3746	141	9	6.4
France	20	20	0	20293	3894	16399	3246.519211669543	14950.77348181814	25.2	20734.62579302916	36	12	3822	91	7	6.8
