Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	235	214	214	214	214	True
Israel	108	108	108	108	108	True
Denmark	124	91	91	91	91	True
AG	78	78	78	78	78	True
US	94	64	64	64	64	True
SW	49	49	49	49	49	True
Spain	86	48	48	48	48	True
KY	47	47	47	47	47	True
Netherlands	50	40	40	40	40	True
Sweden	68	38	38	38	38	True
UK	28	27	27	27	27	True
Fiji	29	20	20	20	20	True
DM	18	18	18	18	18	False
Austria	17	15	15	15	15	False
Germany	25	14	14	14	14	False
Kazakhstan	14	13	13	13	13	False
France	13	13	13	13	13	False
GH	11	11	11	11	11	False
BF	6	6	6	6	6	False
Russia	6	0	0	0	0	False
Peru	3	2	0	0	0	False
Canada	5	4	0	0	0	False
Mongolia	10	6	0	0	0	False
Madagascar	7	7	0	0	0	False
Italy	1	1	0	0	0	False
Finland	17	2	0	0	0	False
Estonia	9	0	0	0	0	False
ElSalvador	1	0	0	0	0	False
Japan	1	1	0	0	0	False
