population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	214	214	0	25728	5328	20400	17.8	8204.395565891455	37782.63785409622	100	99	3383	22	2	26.1
Israel	108	108	0	20574	4510	16064	9.9	8204.395565891455	37782.63785409622	90	80	2737	78	4	13.7
Denmark	91	91	0	18920	4211	14709	8.8	8204.395565891455	37782.63785409622	86	73	2519	68	4	10.7
AG	78	78	0	25373	5283	20090	8.8	8204.395565891455	37782.63785409622	103	105	3268	46	3	22.8
US	64	64	0	20839	4572	16267	8.1	8204.395565891455	37782.63785409622	93	85	2760	40	5	13.1
SW	49	49	0	23857	5136	18721	7.4	8204.395565891455	37782.63785409622	104	107	3086	40	3	20.2
Spain	48	48	0	18512	4081	14431	7.2	8204.395565891455	37782.63785409622	83	68	2462	32	1	9.2
KY	47	47	0	24773	5080	19693	7.6	8204.395565891455	37782.63785409622	97	93	3184	35	4	20.1
Netherlands	40	40	0	20121	4445	15676	7.2	8204.395565891455	37782.63785409622	89	78	2701	35	2	11.4
Sweden	38	38	0	19669	4324	15345	6.5	8204.395565891455	37782.63785409622	89	78	2598	28	2	11.3
UK	27	27	0	19108	4235	14873	6.3	8204.395565891455	37782.63785409622	85	71	2581	44	3	10.0
Fiji	20	20	0	29063	6164	22899	7.4	8204.395565891455	37782.63785409622	120	142	3781	85	4	36.4
