population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	99	99	0	17750	2067	15683	14.1	5803.011302844202	26723.854640810026	67	44	565	39	3	7.6
China	91	91	0	17868	2358	15510	12.8	5803.011302844202	26723.854640810026	75	55	661	3	1	8.2
Denmark	57	57	0	11473	1693	9780	9.4	5803.011302844202	26723.854640810026	54	28	425	2	1	2.6
US	49	49	0	15888	1795	14093	9.4	5803.011302844202	26723.854640810026	59	34	505	8	1	5.3
SW	44	44	0	17106	1934	15172	8.9	5803.011302844202	26723.854640810026	61	36	543	12	1	5.9
DM	40	40	0	17931	2072	15859	8.6	5803.011302844202	26723.854640810026	65	41	587	18	2	7.1
Fiji	26	26	0	15802	1984	13818	7.5	5803.011302844202	26723.854640810026	65	41	561	20	3	6.0
KY	23	23	0	17102	1964	15138	7.4	5803.011302844202	26723.854640810026	61	36	558	5	1	6.0
Spain	22	22	0	16635	2197	14438	7.3	5803.011302844202	26723.854640810026	70	48	559	2	1	6.4
Israel	20	20	0	17681	2063	15618	7.2	5803.011302844202	26723.854640810026	66	42	604	9	1	7.4
