population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	114	114	0	22755	4944	17811	1947.659203998749	8969.302098720336	24.4	14887.221166233736	42	17	4190	128	8	9.8
China	85	85	0	28377	5648	22729	1242.3276502247074	5721.130256043464	24.1	14887.221166233736	49	23	4787	131	7	14.3
Israel	50	50	0	25387	4823	20564	3520.9293296499013	16214.47877587476	33.0	14887.221166233736	42	17	4086	60	4	10.9
US	43	43	0	24250	4659	19591	3810.645579538955	17548.671412260108	24.8	14887.221166233736	40	15	3948	67	5	10.0
Austria	37	37	0	19508	3636	15872	3459.37897058485	15931.028897371523	36.2	14887.221166233736	33	10	3065	29	4	6.1
UK	34	34	0	25765	4919	20846	3886.2769502047986	17896.966745575864	29.1	14887.221166233736	43	18	4176	52	5	11.1
SW	33	33	0	21132	4382	16750	1789.6797518058843	8241.779835483025	29.4	14887.221166233736	38	14	3698	59	5	8.0
DM	31	31	0	24366	5115	19251	1916.7704853899477	8827.05429269971	23.5	14887.221166233736	44	18	4335	75	7	10.8
KY	30	30	0	24711	5216	19495	1698.4865632066774	7821.819682180768	22.7	14887.221166233736	45	19	4426	92	7	10.3
Spain	21	21	0	23665	4416	19249	3882.4217698490024	17879.212983939742	27.0	14887.221166233736	38	14	3743	53	4	8.5
Sweden	20	20	0	26976	5024	21952	3812.8223823614444	17558.695959719007	31.2	14887.221166233736	44	18	4244	50	4	11.6
