Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	42	42	42	42	42	True
KY	26	26	26	26	26	True
DM	23	23	23	23	23	True
China	34	34	34	22	22	True
GH	21	21	21	21	21	True
BF	11	11	11	11	11	False
SW	10	10	10	10	10	False
Fiji	7	7	7	4	4	False
Kazakhstan	2	2	2	2	2	False
Israel	7	7	7	2	2	False
France	1	1	1	1	1	False
Netherlands	1	1	1	1	1	False
US	3	3	3	1	1	False
Denmark	1	1	1	0	0	False
Madagascar	1	1	0	0	0	False
Mongolia	1	1	0	0	0	False
Peru	1	0	0	0	0	False
Canada	1	1	0	0	0	False
Spain	1	1	1	0	0	False
